"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",8.56942404575827e-102,6.2671313783946e-16,TRUE,"Gathering",0,"linear",TRUE
"2",2.79767016523965e-88,1.22517464736659e-13,TRUE,"Gathering",0,"linear",TRUE
"3",8.62048317844908e-85,5.50188037711034e-11,TRUE,"Gathering",0,"linear",TRUE
"4",3.11481508065639e-93,1.37133808959753e-16,TRUE,"Gathering",0,"linear",TRUE
"5",7.07456568423669e-101,9.98952643094632e-19,TRUE,"Gathering",0,"linear",TRUE
"6",2.28480960087179e-92,1.63323941324579e-09,TRUE,"Gathering",0,"linear",TRUE
"7",2.6255594546654e-99,2.10370408595176e-14,TRUE,"Gathering",0,"linear",TRUE
"8",1.2295650820592e-91,9.25638694479515e-15,TRUE,"Gathering",0,"linear",TRUE
"9",3.71590736932585e-102,3.01748604795117e-12,TRUE,"Gathering",0,"linear",TRUE
"10",6.07984275194359e-113,1.6389762791971e-17,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",3.94493377833863e-10,0.00149695063180367,TRUE,"Gathering",1,"linear",TRUE
"22",4.90026275955812e-15,0.00138954607547817,TRUE,"Gathering",1,"linear",TRUE
"23",8.17825814285125e-13,0.0119794309266723,TRUE,"Gathering",1,"linear",TRUE
"24",2.99443308017382e-09,5.91624211691294e-06,TRUE,"Gathering",1,"linear",TRUE
"25",1.05921309097195e-12,0.00675130942627504,TRUE,"Gathering",1,"linear",TRUE
"26",7.15256406354519e-11,0.000997584619830365,TRUE,"Gathering",1,"linear",TRUE
"27",3.62757568494544e-10,4.6722710983682e-05,TRUE,"Gathering",1,"linear",TRUE
"28",3.12594532083969e-12,0.00384234440743168,TRUE,"Gathering",1,"linear",TRUE
"29",8.40869526386532e-11,0.049814412875355,TRUE,"Gathering",1,"linear",TRUE
"30",2.75357497729536e-12,0.00190556763621032,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.000269145126471471,TRUE,"Gathering",1,"nonlinear",TRUE
"32",1.59174475211632e-07,0.0031566760541758,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.00694100246167606,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0.0013050982748033,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.00547327497627426,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.00509438674487556,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.00735092476232846,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.0109501652191343,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.00719992083386339,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.0091188205111512,TRUE,"Gathering",1,"nonlinear",TRUE
"41",6.62366635717985e-75,7.06624167414046e-16,TRUE,"Hunting",0,"linear",TRUE
"42",4.52252191022283e-79,2.10856818424466e-19,TRUE,"Hunting",0,"linear",TRUE
"43",2.07669401115024e-84,1.75029220944199e-24,TRUE,"Hunting",0,"linear",TRUE
"44",6.90667932759685e-87,4.33587928404858e-17,TRUE,"Hunting",0,"linear",TRUE
"45",4.5759016587377e-94,1.91574117809024e-13,TRUE,"Hunting",0,"linear",TRUE
"46",3.43496695518497e-86,1.2937975429271e-19,TRUE,"Hunting",0,"linear",TRUE
"47",6.6506128341355e-76,3.12159352796891e-19,TRUE,"Hunting",0,"linear",TRUE
"48",1.14349780277843e-81,2.31275933294718e-17,TRUE,"Hunting",0,"linear",TRUE
"49",1.00064299199842e-85,6.80999278289015e-18,TRUE,"Hunting",0,"linear",TRUE
"50",1.15486864199725e-71,6.63924620648215e-14,TRUE,"Hunting",0,"linear",TRUE
"51",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"52",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"53",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"54",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"55",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"56",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"57",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"58",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"59",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"60",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"61",4.11443019672403e-09,0.105050968165122,TRUE,"Hunting",1,"linear",TRUE
"62",0.00205136748948168,0.259944913011044,TRUE,"Hunting",1,"linear",TRUE
"63",5.24521573787041e-05,0.464290353740655,TRUE,"Hunting",1,"linear",TRUE
"64",5.51744751330941e-05,0.429150356227196,TRUE,"Hunting",1,"linear",TRUE
"65",1.3055836888934e-05,0.0314587986348239,TRUE,"Hunting",1,"linear",TRUE
"66",0.000112575118507611,0.816485421682483,TRUE,"Hunting",1,"linear",TRUE
"67",0.00148172045276297,0.140319137242891,TRUE,"Hunting",1,"linear",TRUE
"68",5.10317005349166e-07,0.134594643395929,TRUE,"Hunting",1,"linear",TRUE
"69",8.8345494097152e-07,0.828492651219314,TRUE,"Hunting",1,"linear",TRUE
"70",4.47626219088211e-05,0.650861821729319,TRUE,"Hunting",1,"linear",TRUE
"71",0.0561311168702532,0.305154290436642,TRUE,"Hunting",1,"nonlinear",TRUE
"72",2.42005780914933e-07,0.222977580862564,TRUE,"Hunting",1,"nonlinear",TRUE
"73",1.29506510926913e-05,0.452150989820785,TRUE,"Hunting",1,"nonlinear",TRUE
"74",0.00172838286047111,0.331227552085705,TRUE,"Hunting",1,"nonlinear",TRUE
"75",0.000257492909007395,0.00332896482202455,TRUE,"Hunting",1,"nonlinear",TRUE
"76",7.29066602864203e-05,0.557479772705504,TRUE,"Hunting",1,"nonlinear",TRUE
"77",0.0142163926618734,0.106925028081475,TRUE,"Hunting",1,"nonlinear",TRUE
"78",0.000763033412586656,0.283315107741712,TRUE,"Hunting",1,"nonlinear",TRUE
"79",0.00204361791955915,0.0307018693382933,TRUE,"Hunting",1,"nonlinear",TRUE
"80",0.0102009625020997,0.0733490564938625,TRUE,"Hunting",1,"nonlinear",TRUE
