"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",6.89841579155201e-216,6.01389902939157e-21,TRUE,"Gathering",0,"linear",TRUE
"2",5.07001847968232e-219,1.45115375749591e-22,TRUE,"Gathering",0,"linear",TRUE
"3",2.1547999702666e-242,2.38773657919583e-26,TRUE,"Gathering",0,"linear",TRUE
"4",1.28780587341705e-222,6.65733118715705e-18,TRUE,"Gathering",0,"linear",TRUE
"5",2.76004790269928e-216,2.3537524111204e-24,TRUE,"Gathering",0,"linear",TRUE
"6",1.01472715966011e-217,1.50915409560215e-22,TRUE,"Gathering",0,"linear",TRUE
"7",7.73759341126315e-217,1.51762129138806e-27,TRUE,"Gathering",0,"linear",TRUE
"8",3.25542044684861e-222,5.41610568617232e-26,TRUE,"Gathering",0,"linear",TRUE
"9",1.07243044168399e-243,8.77335279941145e-26,TRUE,"Gathering",0,"linear",TRUE
"10",5.46000447901746e-225,3.40627601704551e-22,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",7.93533482438111e-24,0.0343598133435246,TRUE,"Gathering",1,"linear",TRUE
"22",1.9774751049464e-22,0.00368602337715713,TRUE,"Gathering",1,"linear",TRUE
"23",5.04982530356876e-25,0.0829732019880554,TRUE,"Gathering",1,"linear",TRUE
"24",1.38329998457438e-29,0.354385831615801,TRUE,"Gathering",1,"linear",TRUE
"25",3.32465329705269e-18,0.0311960391864785,TRUE,"Gathering",1,"linear",TRUE
"26",7.83756172532047e-22,0.132018287569578,TRUE,"Gathering",1,"linear",TRUE
"27",3.94864188426165e-20,0.110444665040135,TRUE,"Gathering",1,"linear",TRUE
"28",5.22861731255947e-22,0.0413336692413945,TRUE,"Gathering",1,"linear",TRUE
"29",8.48000520581798e-26,0.0716014623620637,TRUE,"Gathering",1,"linear",TRUE
"30",4.06345131707423e-20,0.00140155503556616,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.032656517615453,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,0.119402882083504,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.000184902404084697,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0.00290375993086323,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.00747569011548144,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.000170586462804323,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.11320617891464,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.00144597524685608,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.00504819349233454,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.0436361914572836,TRUE,"Gathering",1,"nonlinear",TRUE
"41",2.46481789145717e-132,1.50141626331603e-24,TRUE,"Hunting",0,"linear",TRUE
"42",7.46493269536841e-138,8.65043266460021e-22,TRUE,"Hunting",0,"linear",TRUE
"43",4.21143125380142e-133,6.78601942382498e-26,TRUE,"Hunting",0,"linear",TRUE
"44",1.44642056782052e-133,1.85236430265411e-25,TRUE,"Hunting",0,"linear",TRUE
"45",1.43782603058982e-129,1.01063914461567e-21,TRUE,"Hunting",0,"linear",TRUE
"46",3.24981639792311e-139,7.07402626370212e-26,TRUE,"Hunting",0,"linear",TRUE
"47",3.10458958535988e-132,1.65904059753353e-30,TRUE,"Hunting",0,"linear",TRUE
"48",3.28217289181334e-141,8.0081672452408e-29,TRUE,"Hunting",0,"linear",TRUE
"49",8.97634455983156e-137,2.91430307715417e-28,TRUE,"Hunting",0,"linear",TRUE
"50",1.11863886415146e-144,5.50875141894804e-20,TRUE,"Hunting",0,"linear",TRUE
"51",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"52",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"53",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"54",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"55",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"56",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"57",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"58",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"59",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"60",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
