"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",0,1.52977061477165e-147,TRUE,"Gathering",0,"linear",TRUE
"2",0,1.62508433451684e-150,TRUE,"Gathering",0,"linear",TRUE
"3",0,4.36751770789617e-136,TRUE,"Gathering",0,"linear",TRUE
"4",0,3.20971925362804e-157,TRUE,"Gathering",0,"linear",TRUE
"5",0,4.20866988463993e-148,TRUE,"Gathering",0,"linear",TRUE
"6",0,1.48540471693009e-132,TRUE,"Gathering",0,"linear",TRUE
"7",0,4.00466005575914e-133,TRUE,"Gathering",0,"linear",TRUE
"8",0,9.2578771928618e-127,TRUE,"Gathering",0,"linear",TRUE
"9",0,4.04503585256627e-146,TRUE,"Gathering",0,"linear",TRUE
"10",0,1.74134695727043e-147,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",3.0433455349042e-31,3.5637360502221e-07,TRUE,"Gathering",1,"linear",TRUE
"22",1.75813955165969e-43,6.33750429037989e-10,TRUE,"Gathering",1,"linear",TRUE
"23",9.3064145624329e-37,3.07326616759979e-12,TRUE,"Gathering",1,"linear",TRUE
"24",1.39137203393763e-32,2.08768116032651e-10,TRUE,"Gathering",1,"linear",TRUE
"25",2.41206812115598e-35,1.03284886392988e-11,TRUE,"Gathering",1,"linear",TRUE
"26",1.86029439727935e-37,4.10749648935334e-08,TRUE,"Gathering",1,"linear",TRUE
"27",1.9586287817994e-39,4.60243342963137e-10,TRUE,"Gathering",1,"linear",TRUE
"28",5.89758409322129e-33,2.93186674246493e-07,TRUE,"Gathering",1,"linear",TRUE
"29",1.69927914851278e-42,5.27910610978664e-08,TRUE,"Gathering",1,"linear",TRUE
"30",9.24378195356683e-37,1.82057646782043e-08,TRUE,"Gathering",1,"linear",TRUE
"31",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,1.58685304857409e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,1.8279445606062e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0,TRUE,"Gathering",1,"nonlinear",TRUE
"41",2.9614014284219e-274,3.5639306770934e-102,TRUE,"Hunting",0,"linear",TRUE
