"","x","y","has_preview_condition","reread_condition"
"1",3.57627811808925e-07,5363.16898266785,"Gathering",1
"2",5.74951437000294e-07,5413.31029595754,"Gathering",1
"3",7.92275062191662e-07,5463.4011249262,"Gathering",1
"4",1.00959868738303e-06,5513.41283594891,"Gathering",1
"5",1.2269223125744e-06,5563.3404627028,"Gathering",1
"6",1.44424593776577e-06,5613.19026431034,"Gathering",1
"7",1.66156956295714e-06,5662.95698295632,"Gathering",1
"8",1.87889318814851e-06,5712.59517703456,"Gathering",1
"9",2.09621681333987e-06,5762.11499272741,"Gathering",1
"10",2.31354043853124e-06,5811.52410997507,"Gathering",1
"11",2.53086406372261e-06,5860.81723347504,"Gathering",1
"12",2.74818768891398e-06,5909.92844631296,"Gathering",1
"13",2.96551131410535e-06,5958.8903897086,"Gathering",1
"14",3.18283493929672e-06,6007.7086176021,"Gathering",1
"15",3.40015856448809e-06,6056.3778281632,"Gathering",1
"16",3.61748218967946e-06,6104.80803717655,"Gathering",1
"17",3.83480581487082e-06,6153.06174052901,"Gathering",1
"18",4.05212944006219e-06,6201.13877038841,"Gathering",1
"19",4.26945306525356e-06,6249.0295781585,"Gathering",1
"20",4.48677669044493e-06,6296.62945826767,"Gathering",1
"21",4.7041003156363e-06,6344.02518806542,"Gathering",1
"22",4.92142394082767e-06,6391.21155059318,"Gathering",1
"23",5.13874756601904e-06,6438.16608728725,"Gathering",1
"24",5.35607119121041e-06,6484.79215652097,"Gathering",1
"25",5.57339481640177e-06,6531.18176147153,"Gathering",1
"26",5.79071844159314e-06,6577.32977508206,"Gathering",1
"27",6.00804206678451e-06,6623.19736321002,"Gathering",1
"28",6.22536569197588e-06,6668.70335602794,"Gathering",1
"29",6.44268931716725e-06,6713.94121297336,"Gathering",1
"30",6.66001294235862e-06,6758.90592805193,"Gathering",1
"31",6.87733656754999e-06,6803.53896205192,"Gathering",1
"32",7.09466019274136e-06,6847.78187465099,"Gathering",1
"33",7.31198381793272e-06,6891.72582304744,"Gathering",1
"34",7.52930744312409e-06,6935.3659527752,"Gathering",1
"35",7.74663106831546e-06,6978.62087087157,"Gathering",1
"36",7.96395469350683e-06,7021.46188026774,"Gathering",1
"37",8.1812783186982e-06,7063.97413593096,"Gathering",1
"38",8.39860194388957e-06,7106.15296440874,"Gathering",1
"39",8.61592556908094e-06,7147.89119380475,"Gathering",1
"40",8.8332491942723e-06,7189.19654899819,"Gathering",1
"41",9.05057281946367e-06,7230.14458801233,"Gathering",1
"42",9.26789644465504e-06,7270.73084663731,"Gathering",1
"43",9.48522006984641e-06,7310.81971239399,"Gathering",1
"44",9.70254369503778e-06,7350.46158875503,"Gathering",1
"45",9.91986732022915e-06,7389.71899276079,"Gathering",1
"46",1.01371909454205e-05,7428.58769615458,"Gathering",1
"47",1.03545145706119e-05,7466.90128451866,"Gathering",1
"48",1.05718381958033e-05,7504.7585929448,"Gathering",1
"49",1.07891618209946e-05,7542.20584746072,"Gathering",1
"50",1.1006485446186e-05,7579.23908070918,"Gathering",1
"51",1.12238090713774e-05,7615.65904819245,"Gathering",1
"52",1.14411326965687e-05,7651.61819111358,"Gathering",1
"53",1.16584563217601e-05,7687.14342909383,"Gathering",1
"54",1.18757799469515e-05,7722.23107863147,"Gathering",1
"55",1.20931035721428e-05,7756.6473988022,"Gathering",1
"56",1.23104271973342e-05,7790.60296574345,"Gathering",1
"57",1.25277508225256e-05,7824.10264922877,"Gathering",1
"58",1.27450744477169e-05,7857.12649473676,"Gathering",1
"59",1.29623980729083e-05,7889.45471108832,"Gathering",1
"60",1.31797216980997e-05,7921.31010722746,"Gathering",1
"61",1.3397045323291e-05,7952.68964069198,"Gathering",1
"62",1.36143689484824e-05,7983.5467490241,"Gathering",1
"63",1.38316925736738e-05,8013.70578026802,"Gathering",1
"64",1.40490161988652e-05,8043.37378223558,"Gathering",1
"65",1.42663398240565e-05,8072.54805205947,"Gathering",1
"66",1.44836634492479e-05,8101.1536776674,"Gathering",1
"67",1.47009870744393e-05,8129.06396012818,"Gathering",1
"68",1.49183106996306e-05,8156.4671941805,"Gathering",1
"69",1.5135634324822e-05,8183.3610295737,"Gathering",1
"70",1.53529579500134e-05,8209.6408413514,"Gathering",1
"71",1.55702815752047e-05,8235.23297961101,"Gathering",1
"72",1.57876052003961e-05,8260.30431824525,"Gathering",1
"73",1.60049288255875e-05,8284.8528698961,"Gathering",1
"74",1.62222524507788e-05,8308.74332590606,"Gathering",1
"75",1.64395760759702e-05,8331.95842332228,"Gathering",1
"76",1.66568997011616e-05,8354.64129738272,"Gathering",1
"77",1.68742233263529e-05,8376.79033109316,"Gathering",1
"78",1.70915469515443e-05,8398.23896235425,"Gathering",1
"79",1.73088705767357e-05,8419.02886544732,"Gathering",1
