"","x","y","has_preview_condition","reread_condition"
"1",0,1401.86771148157,"Gathering",1
"2",6.2659107563577e-07,1410.42631011764,"Gathering",1
"3",1.25318215127154e-06,1418.96623911948,"Gathering",1
"4",1.87977322690731e-06,1427.46964348776,"Gathering",1
"5",2.50636430254308e-06,1435.95239100447,"Gathering",1
"6",3.13295537817885e-06,1444.41434602471,"Gathering",1
"7",3.75954645381462e-06,1452.83803890267,"Gathering",1
"8",4.38613752945039e-06,1461.23626041827,"Gathering",1
"9",5.01272860508616e-06,1469.61139201722,"Gathering",1
"10",5.63931968072193e-06,1477.94746066891,"Gathering",1
"11",6.2659107563577e-06,1486.25253340261,"Gathering",1
"12",6.89250183199347e-06,1494.53223598386,"Gathering",1
"13",7.51909290762924e-06,1502.77264024872,"Gathering",1
"14",8.14568398326501e-06,1510.97601202006,"Gathering",1
"15",8.77227505890078e-06,1519.15175574861,"Gathering",1
"16",9.39886613453655e-06,1527.28853089837,"Gathering",1
"17",1.00254572101723e-05,1535.3817385607,"Gathering",1
"18",1.06520482858081e-05,1543.4450877667,"Gathering",1
"19",1.12786393614439e-05,1551.47036070092,"Gathering",1
"20",1.19052304370796e-05,1559.44504844773,"Gathering",1
"21",1.25318215127154e-05,1567.38767988524,"Gathering",1
"22",1.31584125883512e-05,1575.29368518399,"Gathering",1
"23",1.37850036639869e-05,1583.14162266705,"Gathering",1
"24",1.44115947396227e-05,1590.9553435668,"Gathering",1
"25",1.50381858152585e-05,1598.73443934976,"Gathering",1
"26",1.56647768908942e-05,1606.44753954843,"Gathering",1
"27",1.629136796653e-05,1614.12430540428,"Gathering",1
"28",1.69179590421658e-05,1621.76461414404,"Gathering",1
"29",1.75445501178016e-05,1629.33932572777,"Gathering",1
"30",1.81711411934373e-05,1636.871257757,"Gathering",1
"31",1.87977322690731e-05,1644.36466652748,"Gathering",1
"32",1.94243233447089e-05,1651.79400612241,"Gathering",1
"33",2.00509144203446e-05,1659.17340834149,"Gathering",1
"34",2.06775054959804e-05,1666.512273713,"Gathering",1
"35",2.13040965716162e-05,1673.78915275469,"Gathering",1
"36",2.1930687647252e-05,1681.00852861314,"Gathering",1
"37",2.25572787228877e-05,1688.18541115523,"Gathering",1
"38",2.31838697985235e-05,1695.30293226304,"Gathering",1
"39",2.38104608741593e-05,1702.35500077986,"Gathering",1
"40",2.4437051949795e-05,1709.36268104592,"Gathering",1
"41",2.50636430254308e-05,1716.31415194455,"Gathering",1
"42",2.56902341010666e-05,1723.19186329337,"Gathering",1
"43",2.63168251767023e-05,1730.02335723866,"Gathering",1
"44",2.69434162523381e-05,1736.80230417843,"Gathering",1
"45",2.75700073279739e-05,1743.49885466975,"Gathering",1
"46",2.81965984036096e-05,1750.14742845186,"Gathering",1
"47",2.88231894792454e-05,1756.74760908573,"Gathering",1
"48",2.94497805548812e-05,1763.25645549691,"Gathering",1
"49",3.0076371630517e-05,1769.71563961008,"Gathering",1
"50",3.07029627061527e-05,1776.12506542338,"Gathering",1
"51",3.13295537817885e-05,1782.44592849393,"Gathering",1
"52",3.19561448574243e-05,1788.70953119122,"Gathering",1
"53",3.258273593306e-05,1794.92177406718,"Gathering",1
"54",3.32093270086958e-05,1801.04935649439,"Gathering",1
"55",3.38359180843316e-05,1807.11147645452,"Gathering",1
"56",3.44625091599674e-05,1813.12071623207,"Gathering",1
"57",3.50891002356031e-05,1819.04967823426,"Gathering",1
"58",3.57156913112389e-05,1824.90471643297,"Gathering",1
"59",3.63422823868747e-05,1830.70543842561,"Gathering",1
"60",3.69688734625104e-05,1836.43072183332,"Gathering",1
"61",3.75954645381462e-05,1842.0733925823,"Gathering",1
"62",3.8222055613782e-05,1847.66039837294,"Gathering",1
"63",3.88486466894177e-05,1853.17723586818,"Gathering",1
"64",3.94752377650535e-05,1858.60257698785,"Gathering",1
"65",4.01018288406893e-05,1863.97099434847,"Gathering",1
"66",4.0728419916325e-05,1869.27491794461,"Gathering",1
"67",4.13550109919608e-05,1874.47830004068,"Gathering",1
"68",4.19816020675966e-05,1879.62359194751,"Gathering",1
"69",4.26081931432324e-05,1884.71044068655,"Gathering",1
"70",4.32347842188681e-05,1889.68757550372,"Gathering",1
"71",4.38613752945039e-05,1894.60554822264,"Gathering",1
"72",4.44879663701397e-05,1899.46429985214,"Gathering",1
"73",4.51145574457754e-05,1904.21842289958,"Gathering",1
"74",4.57411485214112e-05,1908.90523311988,"Gathering",1
"75",4.6367739597047e-05,1913.53185489348,"Gathering",1
"76",4.69943306726827e-05,1918.05988716181,"Gathering",1
"77",4.76209217483185e-05,1922.51204816037,"Gathering",1
"78",4.82475128239543e-05,1926.90315149342,"Gathering",1
"79",4.88741038995901e-05,1931.20205550226,"Gathering",1
"80",4.95006949752258e-05,1935.41644232411,"Gathering",1
"81",5.01272860508616e-05,1939.56900167922,"Gathering",1
"82",5.07538771264974e-05,1943.63607145826,"Gathering",1
"83",5.13804682021331e-05,1947.60992510323,"Gathering",1
"84",5.20070592777689e-05,1951.52128189164,"Gathering",1
"85",5.26336503534047e-05,1955.35414609387,"Gathering",1
"86",5.32602414290405e-05,1959.08507670312,"Gathering",1
"87",5.38868325046762e-05,1962.75294218485,"Gathering",1
"88",5.4513423580312e-05,1966.34956634095,"Gathering",1
"89",5.51400146559478e-05,1969.83555538097,"Gathering",1
"90",5.57666057315835e-05,1973.25801256244,"Gathering",1
"91",5.63931968072193e-05,1976.61670047635,"Gathering",1
"92",5.70197878828551e-05,1979.85610192192,"Gathering",1
"93",5.76463789584908e-05,1983.03160645378,"Gathering",1
"94",5.82729700341266e-05,1986.14319698873,"Gathering",1
"95",5.88995611097624e-05,1989.1425412641,"Gathering",1
"96",5.95261521853982e-05,1992.06992134565,"Gathering",1
"97",6.01527432610339e-05,1994.93313235024,"Gathering",1
"98",6.07793343366697e-05,1997.69178129441,"Gathering",1
"99",6.14059254123055e-05,2000.37023659492,"Gathering",1
"100",6.20325164879412e-05,2002.98436877184,"Gathering",1
"101",6.2659107563577e-05,2005.50180884744,"Gathering",1
"102",6.32856986392128e-05,2007.9309084582,"Gathering",1
