"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","article_level","filter_type","regime_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","filler_plot"
"1",1,1.08843805965671e-151,3.42676664505728e-21,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"2",2,2.90453029842801e-149,6.32579895292277e-30,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"3",3,2.46265978598169e-157,2.34902112468155e-30,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"4",4,2.96423559386446e-155,2.51254617882874e-31,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"5",5,1.76720264131401e-162,2.57124827677747e-24,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"6",6,1.17632563998168e-165,3.08826415850075e-34,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"7",7,1.89207972057801e-160,5.39694495524711e-27,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"8",8,3.19973814267045e-154,2.80643986151022e-23,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"9",9,2.20986038525145e-161,6.45451871340321e-23,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"10",10,3.00238832710818e-180,1.44854657526225e-25,"Gathering",0,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"11",11,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"12",12,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"13",13,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"14",14,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"15",15,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"16",16,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"17",17,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"18",18,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"19",19,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"20",20,0,0,"Gathering",0,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"21",21,3.25096811024745e-16,0.595801905400054,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"22",22,1.60822322648861e-19,0.256551209847241,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"23",23,8.7115135628081e-13,0.424553304982732,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"24",24,5.12748544764443e-19,0.793355286186215,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"25",25,2.26222075787389e-12,0.0167337488831165,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"26",26,1.20928176491707e-20,0.0784170022011041,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"27",27,8.36263585723996e-18,0.0104059365441342,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"28",28,1.25928600001355e-18,0.417695424923949,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"29",29,7.10182740714846e-17,0.0283384556260202,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"30",30,3.47704720372425e-16,0.0135354971042012,"Gathering",1,"linear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"31",31,0,0.000908067774453292,"Gathering",1,"nonlinear",TRUE,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
