"","X","has_preview_condition","reread_condition","linear","p_val","context","article_level","filter_type","regime_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","filler_plot"
"1",1,"Gathering",0,"nonlinear",0.006,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"2",2,"Gathering",1,"nonlinear",0.113,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"3",3,"Hunting",0,"nonlinear",0,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"4",4,"Hunting",1,"nonlinear",0.098,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"5",2,"Hunting",0,"nonlinear",0.023,"Q-P","paragraph","exclude_RegimeRepeatedReading",1,"regime_context",1,0,1,0
"6",1,"Gathering",0,"nonlinear",0,"instFirstReadP-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"7",2,"Hunting",0,"nonlinear",0.009,"instFirstReadP-Q-P","paragraph","exclude_RegimeRepeatedReading",1,"prompt_regime_context",1,0,1,0
"8",1,"Gathering",1,"nonlinear",0.035,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"9",2,"Hunting",1,"nonlinear",0.002,"Qfr-P-Q-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"10",2,"Hunting",1,"nonlinear",0.002,"instFirstReadP-Qfr-P-instReReadP-Q-P","paragraph","only_RegimeRepeatedReading",1,"prompt_regime_context",0,1,1,0
"11",1,"Gathering",1,"nonlinear",0.322,"instFirstReadP-P-instReReadP-P","paragraph","only_RegimeRepeatedReading",1,"prompt_regime_context",0,1,1,0
