,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,2.82328947359126e-178,5.5188797978319395e-28,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.82328947359126e-177,5.51887979783194e-27
1,2,2,2.5644084415206e-172,4.20154021395239e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.5644084415206003e-171,4.2015402139523904e-23
2,3,3,6.7231801342937e-149,2.28828087895741e-31,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.7231801342937e-148,2.28828087895741e-30
3,4,4,7.55276491841463e-173,2.31846524485239e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,7.55276491841463e-172,2.31846524485239e-23
4,5,5,6.28790278860326e-190,1.88697257464724e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.28790278860326e-189,1.88697257464724e-23
5,6,6,3.56464262272053e-187,2.54260997615081e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.56464262272053e-186,2.54260997615081e-21
6,7,7,3.37733753685725e-166,4.942924435636071e-32,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.3773375368572497e-165,4.94292443563607e-31
7,8,8,1.00024443789459e-179,2.91863366730946e-19,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.00024443789459e-178,2.91863366730946e-18
8,9,9,2.41605775983964e-166,1.86770478412177e-30,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.41605775983964e-165,1.86770478412177e-29
9,10,10,2.86213336490149e-191,1.3925687079585e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.8621333649014904e-190,1.3925687079585e-22
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
20,21,21,2.2386095950251098e-26,0.0097783810031998,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.2386095950251096e-25,0.09778381003199801
21,22,22,5.20212735647232e-20,0.0032980698464062,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.20212735647232e-19,0.032980698464062
22,23,23,4.14519538874929e-17,0.0004398837368491,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,4.14519538874929e-16,0.004398837368491
23,24,24,1.05692670032103e-18,0.0046842088071992,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.0569267003210299e-17,0.046842088071992
24,25,25,1.3527814182322799e-16,0.0606399046209068,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.3527814182322799e-15,0.606399046209068
