,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,1.7102587056812e-154,4.362991862358e-40,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.7102587056812e-153,4.362991862358e-39
1,2,2,3.2774863391297104e-152,4.3369291077033205e-35,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.27748633912971e-151,4.336929107703321e-34
2,3,3,9.55528986391901e-146,2.19031634225121e-27,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,9.555289863919011e-145,2.19031634225121e-26
3,4,4,4.35512240892776e-142,1.9694305915538201e-31,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.35512240892776e-141,1.96943059155382e-30
4,5,5,3.37350744820947e-154,1.56207575326001e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.37350744820947e-153,1.56207575326001e-23
5,6,6,1.18436856121279e-162,5.5489852327817e-30,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.18436856121279e-161,5.5489852327817e-29
6,7,7,1.08186787116618e-140,8.27849116386182e-26,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.08186787116618e-139,8.278491163861819e-25
7,8,8,2.80485714155043e-152,1.63977342655422e-29,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.8048571415504302e-151,1.63977342655422e-28
8,9,9,3.08287592599866e-128,6.37019660481789e-35,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.08287592599866e-127,6.37019660481789e-34
9,10,10,7.97868597077063e-152,5.52391713292234e-32,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,7.978685970770631e-151,5.52391713292234e-31
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
20,21,21,3.52933257258497e-21,0.464474106291957,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.52933257258497e-20,1.0
21,22,22,3.26690349450296e-17,0.214343658933664,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.26690349450296e-16,1.0
22,23,23,1.24625968705944e-17,0.139756018366927,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.24625968705944e-16,1.0
23,24,24,7.93935499693252e-13,0.154432010567114,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,7.93935499693252e-12,1.0
24,25,25,1.61223147863187e-13,0.13309232449802,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.6122314786318699e-12,1.0
25,26,26,3.0121881034937e-17,0.163458742883534,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.0121881034937004e-16,1.0
26,27,27,2.2936619151488702e-09,0.112741012907547,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.2936619151488702e-08,1.0
27,28,28,1.3495665114716899e-11,0.282708554209928,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.3495665114716898e-10,1.0
28,29,29,9.260134939249861e-14,0.0552118332075713,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,9.26013493924986e-13,0.552118332075713
29,30,30,1.2194224984029402e-15,0.15156946143051,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.2194224984029402e-14,1.0
30,31,31,0.0,0.0007774201946773,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.007774201946773
31,32,32,0.0,4.14202016227327e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00041420201622732695
32,33,33,0.0,0.0033066260628552,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.033066260628551995
33,34,34,0.0,3.70205537190693e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00037020553719069305
34,35,35,0.0,0.0007135791151884,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.007135791151884001
35,36,36,0.0,0.0002089573639519,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0020895736395189998
36,37,37,0.0,0.0097041387217556,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.09704138721755601
37,38,38,0.0,0.0018252110256104,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.018252110256104
38,39,39,0.0,0.0352684549195473,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.352684549195473
39,40,40,0.0,1.37755884224711e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00013775588422471101
40,41,41,8.41534965874215e-87,4.28013320127178e-24,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.415349658742149e-86,4.28013320127178e-23
41,42,42,1.9290132347419403e-93,8.04366205381081e-22,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,1.9290132347419403e-92,8.043662053810809e-21
42,43,43,7.34432687223939e-107,1.24127633638086e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,7.34432687223939e-106,1.2412763363808601e-22
43,44,44,2.63952466663664e-93,2.48722129728527e-27,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,2.63952466663664e-92,2.48722129728527e-26
44,45,45,4.84722317527291e-87,1.2579696533104e-24,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.8472231752729105e-86,1.2579696533104e-23
45,46,46,8.51614010915929e-84,4.14996498467268e-28,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.51614010915929e-83,4.14996498467268e-27
46,47,47,2.7779490069232303e-98,1.5971576185327e-32,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,2.7779490069232305e-97,1.5971576185327001e-31
47,48,48,3.21389472913163e-66,1.73400006499527e-29,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.2138947291316303e-65,1.73400006499527e-28
48,49,49,2.3405904528602e-93,3.64263625288628e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,2.3405904528602e-92,3.64263625288628e-22
49,50,50,3.65858215832568e-92,3.47847534793718e-24,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.6585821583256797e-91,3.4784753479371795e-23
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
55,56,56,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
56,57,57,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
57,58,58,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
58,59,59,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
59,60,60,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
60,61,61,8.47441595510215e-08,0.299726719984005,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,8.47441595510215e-07,1.0
61,62,62,2.01486033728848e-05,0.921624235588331,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000201486033728848,1.0
62,63,63,1.24312362727201e-06,0.161427052037166,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,1.2431236272720102e-05,1.0
63,64,64,0.0172803352884836,0.0540801353165816,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.172803352884836,0.540801353165816
64,65,65,5.7264227384097894e-11,0.174175540912881,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,5.726422738409789e-10,1.0
65,66,66,0.0006908443982053,0.249955864237615,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.006908443982053,1.0
66,67,67,1.60350049414318e-05,0.161336224952839,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000160350049414318,1.0
67,68,68,0.0003170050289231,0.361028668642919,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.003170050289231,1.0
68,69,69,1.01535903262163e-05,0.676672627007526,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.00010153590326216299,1.0
69,70,70,2.00169608723378e-05,0.0194463581990186,Hunting,1,linear,True,P,standard_contxt,1,1,0,1,1,0.000200169608723378,0.194463581990186
70,71,71,5.92784701169968e-06,0.116629400456946,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,5.92784701169968e-05,1.0
71,72,72,8.50016769471384e-06,0.278896841035505,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,8.50016769471384e-05,1.0
72,73,73,0.0001284718376973,0.0406954685215298,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.001284718376973,0.406954685215298
73,74,74,5.29305602214869e-06,0.0191463574010007,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,5.29305602214869e-05,0.19146357401000702
74,75,75,6.48138466051718e-05,0.212358586427266,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.000648138466051718,1.0
75,76,76,1.07825036916309e-05,0.35866884784316,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.00010782503691630899,1.0
76,77,77,1.14884578572005e-05,0.0673322289104979,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.000114884578572005,0.6733222891049789
77,78,78,0.0,0.11438460412115,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,1.0
78,79,79,6.02668503008053e-06,0.0252515322007582,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,6.026685030080531e-05,0.252515322007582
79,80,80,8.51431140379e-05,0.24592697338,Hunting,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0008514311403789999,1.0
80,81,21,7.56509257904481e-113,5.17658626592277e-24,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,7.56509257904481e-112,5.17658626592277e-23
81,82,22,1.01243943158384e-106,4.77803266563023e-40,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,1.01243943158384e-105,4.77803266563023e-39
82,83,23,3.8265416968850904e-112,2.43453770781557e-28,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.8265416968850905e-111,2.43453770781557e-27
83,84,24,3.02041738598131e-95,6.85468729229606e-28,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.02041738598131e-94,6.85468729229606e-27
84,85,25,3.1165055045323e-121,9.50777268207133e-23,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.1165055045323005e-120,9.50777268207133e-22
85,86,26,3.2811252554557303e-106,1.55301153171928e-32,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.28112525545573e-105,1.55301153171928e-31
86,87,27,4.31820352710841e-104,2.24985670556129e-37,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,4.31820352710841e-103,2.24985670556129e-36
87,88,28,1.79209967749146e-105,2.83115124557473e-33,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,1.7920996774914602e-104,2.83115124557473e-32
88,89,29,2.48029810222025e-106,2.0684615513430002e-27,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.48029810222025e-105,2.068461551343e-26
89,90,30,6.6992910554352e-108,2.70944175973919e-28,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,6.6992910554352e-107,2.7094417597391897e-27
90,91,31,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
91,92,32,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
92,93,33,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
93,94,34,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
94,95,35,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
95,96,36,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
