"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",7.60037841139892e-15,0.0225200284240436,TRUE,"Gathering",1,"linear",TRUE
"2",1.03825428690826e-16,0.180205697726852,TRUE,"Gathering",1,"linear",TRUE
"3",6.94403716707886e-15,0.147232086085774,TRUE,"Gathering",1,"linear",TRUE
"4",1.5237474469154e-16,0.0258483883717917,TRUE,"Gathering",1,"linear",TRUE
"5",1.60813990520489e-13,0.101499061472154,TRUE,"Gathering",1,"linear",TRUE
"6",4.27366058381592e-19,0.0803142601307501,TRUE,"Gathering",1,"linear",TRUE
"7",5.32469929503676e-15,0.0223675344216939,TRUE,"Gathering",1,"linear",TRUE
"8",3.75345584971637e-12,0.225675825094306,TRUE,"Gathering",1,"linear",TRUE
"9",1.92111982709294e-11,0.224549238649257,TRUE,"Gathering",1,"linear",TRUE
"10",8.60377155313403e-13,0.0888677306989131,TRUE,"Gathering",1,"linear",TRUE
"11",0,0.000117625503841978,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,7.93528992154569e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,3.53407022694596e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,0.0173058344947488,TRUE,"Gathering",1,"nonlinear",TRUE
"15",0,1.85733270620103e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,0.000304830142895673,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.0043431144602355,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,0.000482906157316165,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,1.62050641289158e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,4.08077765370884e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"21",3.84442964883599e-07,0.399882630122147,TRUE,"Hunting",1,"linear",TRUE
"22",0.00693888792931035,0.691166741300396,TRUE,"Hunting",1,"linear",TRUE
"23",1.23971066283792e-11,0.360744108100763,TRUE,"Hunting",1,"linear",TRUE
"24",2.76150046985756e-05,0.371017954182418,TRUE,"Hunting",1,"linear",TRUE
"25",0.00017836703999239,0.848162196850349,TRUE,"Hunting",1,"linear",TRUE
"26",3.90512505519317e-05,0.949067816960966,TRUE,"Hunting",1,"linear",TRUE
"27",1.79515637623632e-06,0.544798475467821,TRUE,"Hunting",1,"linear",TRUE
"28",1.01304773457486e-06,0.24173658700314,TRUE,"Hunting",1,"linear",TRUE
"29",2.32772593695985e-06,0.303796782739631,TRUE,"Hunting",1,"linear",TRUE
"30",0.000525642079643684,0.968348875690645,TRUE,"Hunting",1,"linear",TRUE
"31",0.00847619927786486,0.0112164020362614,TRUE,"Hunting",1,"nonlinear",TRUE
"32",2.09351445580319e-05,0.0594975962991289,TRUE,"Hunting",1,"nonlinear",TRUE
"33",3.47188898895956e-05,0.0844603758261505,TRUE,"Hunting",1,"nonlinear",TRUE
"34",0.00648605918744766,0.396736671810167,TRUE,"Hunting",1,"nonlinear",TRUE
"35",5.40094234724453e-07,0.0207086772808109,TRUE,"Hunting",1,"nonlinear",TRUE
"36",1.27606883459919e-05,0.00146603344306329,TRUE,"Hunting",1,"nonlinear",TRUE
"37",0.00601178211994674,0.227227633993773,TRUE,"Hunting",1,"nonlinear",TRUE
"38",2.95258698157497e-07,0.0154874157056392,TRUE,"Hunting",1,"nonlinear",TRUE
"39",0.000325753823802621,0.135940216570046,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.00204691703765825,0.90496692058418,TRUE,"Hunting",1,"nonlinear",TRUE
