"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",5.55091657940628e-195,1.66459712998679e-31,TRUE,"Gathering",0,"linear",TRUE
"2",9.89153049937866e-192,3.08338216256109e-33,TRUE,"Gathering",0,"linear",TRUE
"3",1.67494757256372e-177,1.07934725404082e-27,TRUE,"Gathering",0,"linear",TRUE
"4",1.8510111065359e-182,3.05989524484942e-21,TRUE,"Gathering",0,"linear",TRUE
"5",9.8297836490302e-186,1.22658040546258e-20,TRUE,"Gathering",0,"linear",TRUE
"6",2.01553990437652e-190,8.73526590539167e-34,TRUE,"Gathering",0,"linear",TRUE
"7",4.2868974866758e-181,4.7153203683913e-28,TRUE,"Gathering",0,"linear",TRUE
"8",1.37929001019428e-172,1.11847079040096e-41,TRUE,"Gathering",0,"linear",TRUE
"9",9.76844560679535e-169,8.34011470440992e-27,TRUE,"Gathering",0,"linear",TRUE
"10",1.62336465400129e-172,3.73684857954665e-28,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",3.14547971595976e-119,1.05234068952337e-33,TRUE,"Hunting",0,"linear",TRUE
"22",1.06322742591062e-115,1.31182968317916e-29,TRUE,"Hunting",0,"linear",TRUE
"23",9.03221648103501e-101,1.36863536522699e-37,TRUE,"Hunting",0,"linear",TRUE
"24",2.56455428786438e-109,2.05482297018695e-32,TRUE,"Hunting",0,"linear",TRUE
"25",2.02741729424253e-128,1.4187198116874e-31,TRUE,"Hunting",0,"linear",TRUE
"26",2.11617695962647e-120,4.00353348198829e-31,TRUE,"Hunting",0,"linear",TRUE
"27",8.12024510850902e-120,3.99478218185843e-30,TRUE,"Hunting",0,"linear",TRUE
"28",2.40470014126851e-113,1.24468424633199e-36,TRUE,"Hunting",0,"linear",TRUE
"29",1.0010847352458e-120,1.69789351587333e-31,TRUE,"Hunting",0,"linear",TRUE
"30",1.79217996171146e-115,1.72507443569947e-30,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
