"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",1.15330289530346e-13,0.342620744419015,TRUE,"Gathering",1,"linear",TRUE
"2",1.06586406058492e-14,0.909425683736909,TRUE,"Gathering",1,"linear",TRUE
"3",2.62325001270723e-13,0.153290681691582,TRUE,"Gathering",1,"linear",TRUE
"4",7.86862035433414e-10,0.201271415315694,TRUE,"Gathering",1,"linear",TRUE
"5",3.71440789349257e-13,0.476506088980613,TRUE,"Gathering",1,"linear",TRUE
"6",5.66485504982671e-20,0.883870702619956,TRUE,"Gathering",1,"linear",TRUE
"7",6.0108489641609e-15,0.390002635211701,TRUE,"Gathering",1,"linear",TRUE
"8",1.48302888499018e-20,0.974198627743409,TRUE,"Gathering",1,"linear",TRUE
"9",2.43857264764459e-16,0.7453774845204,TRUE,"Gathering",1,"linear",TRUE
"10",1.34446280590591e-19,0.954649362873118,TRUE,"Gathering",1,"linear",TRUE
"11",0,0.00133967301993287,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,8.25123440018061e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,7.25181242594575e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,9.09653046404779e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"15",0,0.000158563621881602,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,0.0277217633140799,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.00439303675619868,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,0.0507485589181219,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,7.23155576404233e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,0.000563280566291069,TRUE,"Gathering",1,"nonlinear",TRUE
"21",4.82486666879963e-06,0.415223255681075,TRUE,"Hunting",1,"linear",TRUE
"22",3.8804499142218e-08,0.578904429048645,TRUE,"Hunting",1,"linear",TRUE
"23",3.16980913623323e-05,0.500002989151945,TRUE,"Hunting",1,"linear",TRUE
"24",2.77899739463232e-05,0.647660850383826,TRUE,"Hunting",1,"linear",TRUE
"25",8.23210647101829e-07,0.701629406670881,TRUE,"Hunting",1,"linear",TRUE
"26",9.66436967518107e-06,0.65853687221548,TRUE,"Hunting",1,"linear",TRUE
"27",6.64607591598988e-06,0.417531838805349,TRUE,"Hunting",1,"linear",TRUE
"28",4.43958458999034e-07,0.954913324891062,TRUE,"Hunting",1,"linear",TRUE
"29",1.72941033176641e-06,0.0846469200962719,TRUE,"Hunting",1,"linear",TRUE
"30",0.00120525084830595,0.976780131929441,TRUE,"Hunting",1,"linear",TRUE
"31",5.5911718252144e-05,0.000277410600679429,TRUE,"Hunting",1,"nonlinear",TRUE
"32",0.000580830994295012,0.0176418981646098,TRUE,"Hunting",1,"nonlinear",TRUE
"33",0.00358913293328772,0.0272135000314984,TRUE,"Hunting",1,"nonlinear",TRUE
"34",4.54478567690209e-05,0.012470139565122,TRUE,"Hunting",1,"nonlinear",TRUE
"35",1.91099424123875e-05,0.0386762733230628,TRUE,"Hunting",1,"nonlinear",TRUE
"36",3.06453526614514e-05,0.0584218485182512,TRUE,"Hunting",1,"nonlinear",TRUE
"37",0.00014080845806369,0.00865493967969888,TRUE,"Hunting",1,"nonlinear",TRUE
"38",8.81766357985203e-07,0.010771941144449,TRUE,"Hunting",1,"nonlinear",TRUE
"39",6.97405641368887e-05,3.58387689438078e-05,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.000224042005476044,0.021158984856411,TRUE,"Hunting",1,"nonlinear",TRUE
