"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",6.818022614805e-19,0.409376959950125,TRUE,"Gathering",1,"linear",TRUE
"2",4.66884001322318e-20,0.458831962684447,TRUE,"Gathering",1,"linear",TRUE
"3",3.82594006768201e-16,0.361262448658738,TRUE,"Gathering",1,"linear",TRUE
"4",3.7921204251304e-21,0.864126256317209,TRUE,"Gathering",1,"linear",TRUE
"5",6.18912857643087e-21,0.139052066834897,TRUE,"Gathering",1,"linear",TRUE
"6",7.6482227923893e-15,0.221219614312789,TRUE,"Gathering",1,"linear",TRUE
"7",9.83385424205409e-25,0.967574110330882,TRUE,"Gathering",1,"linear",TRUE
"8",1.69268017239301e-15,0.211209597491865,TRUE,"Gathering",1,"linear",TRUE
"9",4.45138683711999e-26,0.86185568166156,TRUE,"Gathering",1,"linear",TRUE
"10",1.84561566877592e-23,0.692144985928186,TRUE,"Gathering",1,"linear",TRUE
"11",0,1.19529436248822e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,0.0158264287754923,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,1.74796608115591e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,3.09688545302444e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"15",0,0.000301023218791829,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,8.31013844460049e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.000153148556191474,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,0.000137893331460415,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,0.000396180914891131,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,-1.06828677903792e-07,TRUE,"Gathering",1,"nonlinear",TRUE
"21",0.000122863591958647,0.0616724396346883,TRUE,"Hunting",1,"linear",TRUE
"22",8.67314662508721e-06,0.512159739711329,TRUE,"Hunting",1,"linear",TRUE
"23",0.00335793277927749,0.259140970447941,TRUE,"Hunting",1,"linear",TRUE
"24",2.71751423390492e-06,0.888059109635398,TRUE,"Hunting",1,"linear",TRUE
"25",0.00397042191436158,0.430163201633756,TRUE,"Hunting",1,"linear",TRUE
"26",0.0040703781995922,0.161952616568331,TRUE,"Hunting",1,"linear",TRUE
"27",0.000467192651466876,0.612464537105083,TRUE,"Hunting",1,"linear",TRUE
"28",7.03911198944986e-05,0.313849296279805,TRUE,"Hunting",1,"linear",TRUE
"29",0.00745843093620791,0.111293404087174,TRUE,"Hunting",1,"linear",TRUE
"30",1.12460071959905e-05,0.103903719383318,TRUE,"Hunting",1,"linear",TRUE
"31",6.06575407602339e-05,0.09367051339139,TRUE,"Hunting",1,"nonlinear",TRUE
"32",5.29890996378568e-05,0.0604231743050774,TRUE,"Hunting",1,"nonlinear",TRUE
"33",2.47016247624798e-05,0.00548822591206216,TRUE,"Hunting",1,"nonlinear",TRUE
"34",0.000223263708469645,0.161778193559544,TRUE,"Hunting",1,"nonlinear",TRUE
"35",0.0214708694579199,0.642223446925594,TRUE,"Hunting",1,"nonlinear",TRUE
"36",0.0067023176562534,0.058405526688942,TRUE,"Hunting",1,"nonlinear",TRUE
"37",0.0364440430639136,0.00594211095479796,TRUE,"Hunting",1,"nonlinear",TRUE
"38",0.00311643193731864,0.102612538246067,TRUE,"Hunting",1,"nonlinear",TRUE
"39",9.25555593722649e-07,0.150927578494795,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.00240763862744597,0.168352182171354,TRUE,"Hunting",1,"nonlinear",TRUE
