"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.00913275644482456,0.0104387081901675,0.00130595174534295,-29.8529663907029,-34.2932067366255,-4.44024034592258
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.0100719914152101,0.0112380763407055,0.00116608492549539,-33.00916124984,-36.9998983844871,-3.99073713464713
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.00913275644482456,0.00910895460603231,-2.38018387922478e-05,-29.8529663907029,-29.8070808990306,0.0458854916723794
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.0100719914152101,0.0100644995233009,-7.49189190918376e-06,-33.00916124984,-33.0207835327783,-0.0116222829383332
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.00913275644482456,0.0085054284439019,-0.000627328000922661,-29.8529663907029,-27.6520604025955,2.20090598810748
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.0100719914152101,0.00971537477136122,-0.000356616643848895,-33.00916124984,-31.6942803486872,1.31488090115272
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00747305402593645,0.000268183459226287,-0.00720487056671017,-19.8472155627824,-0.585346404242955,19.2618691585394
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00875793840115527,0.00345843563643938,-0.00529950276471589,-23.5342082496227,-8.19113128761273,15.3430769620099
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00747305402593645,0.00726805769074085,-0.000204996335195606,-19.8472155627824,-19.5957566984853,0.251458864297092
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00875793840115527,0.00868926791893834,-6.8670482216926e-05,-23.5342082496227,-23.4810877138625,0.0531205357601721
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00747305402593645,0.00675340217365986,-0.000719651852276598,-19.8472155627824,-18.0184169180047,1.82879864477763
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00875793840115527,0.00792435308353479,-0.000833585317620483,-23.5342082496227,-21.1947032442404,2.33950500538231
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.00309289644496809,-0.000106648950390739,-0.00319954539535883,-5.0262059402603,0.20583950890159,5.23204544916189
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00407980733034237,0.000220033959700869,-0.0038597733706415,-6.68264539676966,-0.198167858359739,6.48447753840992
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.00309289644496809,0.00303798152604688,-5.49149189212061e-05,-5.0262059402603,-4.97798623809012,0.0482197021701722
"16","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","nonlinear",0.00407980733034237,0.00437468829867904,0.000294880968336672,-6.68264539676966,-7.18504465246224,-0.50239925569258
"17","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","linear",0.00309289644496809,0.00279369878727391,-0.000299197657694178,-5.0262059402603,-4.53590364493903,0.490302295321271
"18","Hunting",1,"P","standard_context","textFillQfr-textFillP-textFillQ-P","text_control_context","nonlinear",0.00407980733034237,0.00346293187203715,-0.000616875458305216,-6.68264539676966,-5.59036903592732,1.09227636084233
"19","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","linear",0.00747305402593645,0.00743546374278825,-3.75902831482033e-05,-19.8472155627824,-20.0628194431483,-0.215603880365961
"20","Gathering",1,"P","standard_context","instFirstReadP-P","prompt_regime_comtext","nonlinear",0.00875793840115527,0.00817886788957028,-0.000579070511584984,-23.5342082496227,-21.9953878824726,1.53882036715004
"21","Hunting",0,"P","standard_context","instFirstReadP-Q-P","prompt_regime_comtext","linear",0.00913275644482456,0.0102600691433962,0.00112731269857164,-29.8529663907029,-33.7701883279242,-3.91722193722126
