,has_preview_condition,reread_condition,linear,context,context_type,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,x_prev_surp,y_surp,y_prev_surp,x_context,y_context,symbol_size,font_size
0,Gathering,0,linear,P,standard_context,4.509144054609107e-90,2.769112716175398e-16,***,***,155,155,85,120,255,85,26,26
1,Gathering,0,nonlinear,P,standard_context,0.0,0.0,***,***,205,205,85,120,305,85,26,26
2,Gathering,1,linear,P,standard_context,2.1827574093941445e-08,0.30311966861628925,***,(.),155,155,975,1010,255,975,26,26
3,Gathering,1,linear,fillP-P,dots_control_context,1.663566195913982e-06,0.6143971857234822,***,(.),685,685,975,1010,785,975,26,26
4,Gathering,1,linear,textFillP-P,text_control_context,4.056110160206515e-07,0.33083732433072593,***,(.),1220,1220,975,1010,1320,975,26,26
5,Gathering,1,nonlinear,P,standard_context,0.0,0.0070345629274298615,***,**,205,205,975,1010,305,975,26,26
6,Gathering,1,nonlinear,fillP-P,dots_control_context,7.53708501499695e-08,0.017117643861069065,***,*,735,735,975,1010,835,975,26,26
7,Gathering,1,nonlinear,textFillP-P,text_control_context,1.57424897372915e-06,0.010835851981285899,***,*,1270,1270,975,1010,1370,975,26,26
8,Hunting,0,linear,P,standard_context,9.962069571818032e-64,6.643473190362611e-15,***,***,155,155,530,565,255,530,26,26
9,Hunting,0,linear,fillQ-P,dots_control_context,9.549175134462272e-53,1.2559390800729121e-11,***,***,685,685,530,565,785,530,26,26
10,Hunting,0,linear,textFillQ-P,text_control_context,3.2040972780455237e-44,5.204490529351563e-12,***,***,1220,1220,530,565,1320,530,26,26
11,Hunting,0,nonlinear,P,standard_context,0.0,0.0,***,***,205,205,530,565,305,530,26,26
12,Hunting,0,nonlinear,fillQ-P,dots_control_context,0.0,0.0,***,***,735,735,530,565,835,530,26,26
13,Hunting,0,nonlinear,textFillQ-P,text_control_context,0.0,0.0,***,***,1270,1270,530,565,1370,530,26,26
14,Hunting,1,linear,P,standard_context,0.0026516054060760673,0.564812500201378,**,(.),155,155,1420,1455,255,1420,26,26
15,Hunting,1,linear,fillQfr-fillP-fillQ-P,dots_control_context,0.008640458689994232,0.5108322586352574,**,(.),685,685,1420,1455,785,1420,26,26
16,Hunting,1,linear,textFillQfr-textFillP-textFillQ-P,text_control_context,0.02634019935383631,0.6283450919457653,*,(.),1220,1220,1420,1455,1320,1420,26,26
17,Hunting,1,nonlinear,P,standard_context,0.0023242311869514994,0.0456692963804745,**,*,205,205,1420,1455,305,1420,26,26
18,Hunting,1,nonlinear,fillQfr-fillP-fillQ-P,dots_control_context,0.004425378426055987,0.07277849424120789,**,(.),735,735,1420,1455,835,1420,26,26
19,Hunting,1,nonlinear,textFillQfr-textFillP-textFillQ-P,text_control_context,0.005914595543482266,0.10246952101110048,**,(.),1270,1270,1420,1455,1370,1420,26,26
