,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,1.83088997963159e-146,3.86606004742296e-26,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.83088997963159e-145,3.8660600474229597e-25
1,2,2,4.7140126695675896e-127,2.5518241824684702e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.71401266956759e-126,2.5518241824684703e-22
2,3,3,1.61397210859285e-138,3.28817798484236e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.61397210859285e-137,3.28817798484236e-23
3,4,4,1.09525287547264e-137,8.97672021307881e-25,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.0952528754726398e-136,8.976720213078811e-24
4,5,5,1.66963217721968e-133,1.9907120478939002e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.66963217721968e-132,1.9907120478939003e-21
5,6,6,5.5285532356547e-140,1.44845587904266e-29,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,5.5285532356547e-139,1.4484558790426599e-28
6,7,7,3.2343590199066604e-144,1.1230546060602199e-18,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.2343590199066605e-143,1.1230546060602199e-17
7,8,8,4.5148551915235804e-133,3.27890660693815e-20,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.5148551915235806e-132,3.27890660693815e-19
8,9,9,9.153999395087199e-148,3.67122056980986e-27,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,9.153999395087199e-147,3.67122056980986e-26
9,10,10,1.44464676198684e-139,1.49709128786901e-21,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.44464676198684e-138,1.49709128786901e-20
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
20,21,21,1.08961914994753e-08,0.0069844847679978,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.08961914994753e-07,0.069844847679978
21,22,22,3.9247613540016204e-19,0.228188106319676,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.924761354001621e-18,1.0
22,23,23,1.24310364231326e-15,0.139655658591984,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.24310364231326e-14,1.0
23,24,24,1.80845058053126e-12,0.0112512615088292,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.80845058053126e-11,0.112512615088292
24,25,25,2.3146582609115397e-12,0.373129672679183,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.3146582609115398e-11,1.0
25,26,26,7.6913882015318e-11,0.58816340383465,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,7.6913882015318e-10,1.0
26,27,27,2.39706040881224e-17,0.192154283804928,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.39706040881224e-16,1.0
27,28,28,1.62624796481446e-14,0.0623458788600988,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.6262479648144601e-13,0.623458788600988
28,29,29,1.30224008625e-10,0.017496137161537,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.3022400862499999e-09,0.17496137161537
29,30,30,1.180641417829e-10,0.0895486092602313,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.1806414178289998e-09,0.8954860926023129
30,31,31,0.0,0.0132748108952504,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.132748108952504
31,32,32,0.0,0.0008218017136275,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.008218017136275
32,33,33,0.0,0.0008712155326338,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.008712155326338
33,34,34,0.0,2.0144733491323e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00020144733491323
34,35,35,0.0,0.0096282919178293,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.09628291917829299
35,36,36,0.0,0.0036969205795455,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.036969205795455
36,37,37,0.0,0.0256972782816882,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.256972782816882
37,38,38,0.0,0.0027848968452864,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.027848968452864
38,39,39,0.0,0.0021920954382451,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.021920954382451
39,40,40,0.0,0.0015475627615042,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.015475627615041999
40,41,41,5.72310775510537e-89,1.4103403498925602e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,5.72310775510537e-88,1.4103403498925601e-22
41,42,42,3.21626075541572e-63,4.9071601586824e-22,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.21626075541572e-62,4.9071601586824e-21
42,43,43,8.155331843621851e-85,1.4325427682132e-20,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.155331843621851e-84,1.4325427682132002e-19
43,44,44,2.0702270267685798e-83,2.6891007867589197e-28,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,2.07022702676858e-82,2.6891007867589195e-27
44,45,45,7.763602712519381e-98,4.2465040787535e-17,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,7.763602712519381e-97,4.2465040787535e-16
45,46,46,4.88897243592231e-69,5.98547030811631e-21,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.88897243592231e-68,5.98547030811631e-20
46,47,47,6.88281062650789e-86,5.04560124908902e-25,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,6.88281062650789e-85,5.04560124908902e-24
47,48,48,3.93905426334384e-93,1.93690346931809e-20,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,3.9390542633438406e-92,1.93690346931809e-19
48,49,49,4.37594198779365e-77,5.2755540981673295e-30,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.37594198779365e-76,5.27555409816733e-29
49,50,50,8.62709277611427e-93,3.5481510612166e-23,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,8.627092776114271e-92,3.5481510612165997e-22
50,51,51,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
51,52,52,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
52,53,53,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
53,54,54,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
54,55,55,0.0,0.0,Hunting,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
