,has_preview_condition,reread_condition,linear,context,context_type,surp_p_val,prev_surp_p_val,surp_symbol,prev_surp_symbol,x_surp,x_prev_surp,y_surp,y_prev_surp,x_context,y_context,symbol_size,font_size
0,Gathering,0,linear,P,standard_context,4.714018854182622e-128,1.157569581060396e-19,***,***,155,155,85,120,255,85,26,26
1,Gathering,0,linear,instFirstReadP-P,prompt_regime_context,3.783258279162628e-116,6.669943522705294e-17,***,***,1220,1220,85,120,1320,85,26,26
2,Gathering,0,nonlinear,P,standard_context,0.0,0.0,***,***,205,205,85,120,305,85,26,26
3,Gathering,0,nonlinear,instFirstReadP-P,prompt_regime_context,0.0,0.0,***,***,1270,1270,85,120,1370,85,26,26
4,Gathering,1,linear,P,standard_context,1.122553417068633e-09,0.1708917496789115,***,(.),155,155,975,1010,255,975,26,26
5,Gathering,1,linear,P-P,regime_context,0.00033295787236160926,0.8071129168223209,***,(.),685,685,975,1010,785,975,26,26
6,Gathering,1,linear,instFirstReadP-P-instReReadP-P,prompt_regime_context,0.009497732396278442,0.5245227355180443,**,(.),1220,1220,975,1010,1320,975,26,26
7,Gathering,1,nonlinear,P,standard_context,0.0,0.006053501869910173,***,**,205,205,975,1010,305,975,26,26
8,Gathering,1,nonlinear,P-P,regime_context,0.3443000804042561,5.4060162508858876e-05,(.),***,735,735,975,1010,835,975,26,26
9,Gathering,1,nonlinear,instFirstReadP-P-instReReadP-P,prompt_regime_context,0.24598467126775705,0.003187737384026273,(.),**,1270,1270,975,1010,1370,975,26,26
10,Hunting,0,linear,P,standard_context,3.2162656443881994e-64,4.250526152598272e-18,***,***,155,155,530,565,255,530,26,26
11,Hunting,0,linear,Q-P,regime_context,4.938466326122229e-84,1.0578579282291595e-24,***,***,685,685,530,565,785,530,26,26
12,Hunting,0,linear,instFirstReadP-Q-P,prompt_regime_context,1.674058124704084e-90,1.1882407677749911e-18,***,***,1220,1220,530,565,1320,530,26,26
13,Hunting,0,nonlinear,P,standard_context,0.0,0.0,***,***,205,205,530,565,305,530,26,26
14,Hunting,0,nonlinear,Q-P,regime_context,0.0,0.0,***,***,735,735,530,565,835,530,26,26
15,Hunting,0,nonlinear,instFirstReadP-Q-P,prompt_regime_context,0.0,0.0,***,***,1270,1270,530,565,1370,530,26,26
16,Hunting,1,linear,P,standard_context,0.0055856288461476255,0.345251849803753,**,(.),155,155,1420,1455,255,1420,26,26
17,Hunting,1,linear,Qfr-P-Q-P,regime_context,0.655856876027071,0.6380641047262964,(.),(.),685,685,1420,1455,785,1420,26,26
18,Hunting,1,linear,instFirstReadP-Qfr-P-instReReadP-Q-P,prompt_regime_context,0.6400687898690972,0.5312644755543511,(.),(.),1220,1220,1420,1455,1320,1420,26,26
19,Hunting,1,nonlinear,P,standard_context,0.001745825088819815,0.022262105398489683,**,*,205,205,1420,1455,305,1420,26,26
20,Hunting,1,nonlinear,Qfr-P-Q-P,regime_context,0.3134997253983868,0.19218221768568625,(.),(.),735,735,1420,1455,835,1420,26,26
21,Hunting,1,nonlinear,instFirstReadP-Qfr-P-instReReadP-Q-P,prompt_regime_context,0.15568462434589064,0.21601551068281846,(.),(.),1270,1270,1420,1455,1370,1420,26,26
