,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,filler_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,regime_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,3.6323237058113496e-179,3.8574291983470495e-36,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,3.6323237058113496e-178,3.8574291983470496e-35
1,2,2,1.12370631581161e-191,1.05932771161234e-25,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.12370631581161e-190,1.05932771161234e-24
2,3,3,1.8910675505002798e-185,2.75792990758247e-26,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.8910675505002798e-184,2.75792990758247e-25
3,4,4,4.5957716440689e-195,1.01941407165603e-29,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.5957716440689004e-194,1.0194140716560298e-28
4,5,5,6.11415564946819e-192,7.231013604109461e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.11415564946819e-191,7.231013604109461e-22
5,6,6,6.05666623264367e-190,1.04155100407128e-27,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.05666623264367e-189,1.04155100407128e-26
6,7,7,6.29326176719889e-181,2.43974284603377e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.29326176719889e-180,2.4397428460337702e-22
7,8,8,2.73969325215119e-166,2.82626347818226e-38,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.73969325215119e-165,2.8262634781822604e-37
8,9,9,2.29249963121747e-172,2.3834554416558798e-30,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.29249963121747e-171,2.38345544165588e-29
9,10,10,4.19570762713019e-172,4.7562339157992e-33,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.19570762713019e-171,4.7562339157992004e-32
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
