"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.29438734691326e-139,1.17829358775648e-22,TRUE,"Gathering",0,"linear",TRUE
"2",1.93457437667053e-161,2.4294442052919e-19,TRUE,"Gathering",0,"linear",TRUE
"3",6.42717562649452e-137,1.2595469282449e-24,TRUE,"Gathering",0,"linear",TRUE
"4",4.26899862077451e-131,6.45237802213281e-31,TRUE,"Gathering",0,"linear",TRUE
"5",1.37806641916023e-144,3.68087677677518e-18,TRUE,"Gathering",0,"linear",TRUE
"6",8.69660319529405e-131,9.66206369877514e-22,TRUE,"Gathering",0,"linear",TRUE
"7",6.19998912254567e-121,1.21748082692695e-25,TRUE,"Gathering",0,"linear",TRUE
"8",1.04653078383657e-132,3.41593430254194e-23,TRUE,"Gathering",0,"linear",TRUE
"9",6.53865096141345e-138,2.11960440921921e-21,TRUE,"Gathering",0,"linear",TRUE
"10",4.01907334820788e-151,1.03693816501127e-18,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",1.34618861025269e-12,0.378242156422625,TRUE,"Gathering",1,"linear",TRUE
"22",5.05477913660309e-16,0.302794517287932,TRUE,"Gathering",1,"linear",TRUE
"23",9.86962449227938e-15,0.353973433603332,TRUE,"Gathering",1,"linear",TRUE
"24",2.61205049533824e-15,0.322114538564046,TRUE,"Gathering",1,"linear",TRUE
"25",2.6753266470926e-15,0.430775316159804,TRUE,"Gathering",1,"linear",TRUE
"26",5.31714045685683e-11,0.0193340258809827,TRUE,"Gathering",1,"linear",TRUE
"27",3.17669624868026e-16,0.568267126652462,TRUE,"Gathering",1,"linear",TRUE
"28",5.87189030480346e-13,0.562867487934521,TRUE,"Gathering",1,"linear",TRUE
"29",1.33795069962483e-17,0.90186003537463,TRUE,"Gathering",1,"linear",TRUE
"30",5.62415353913724e-13,0.0440293355505009,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.000980831682324768,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,0.000634694563293015,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.0653220047242283,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,5.81876602777642e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.00522756132194835,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.000605020441354909,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.0359449070210749,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.00277773202332038,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.00406221514334204,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.0160215989251491,TRUE,"Gathering",1,"nonlinear",TRUE
"41",4.56873386443947e-79,7.49221091468794e-21,TRUE,"Hunting",0,"linear",TRUE
"42",6.66597841129398e-90,2.49454994723642e-22,TRUE,"Hunting",0,"linear",TRUE
"43",1.91344031634381e-90,2.99729074703072e-24,TRUE,"Hunting",0,"linear",TRUE
"44",2.93371382323527e-93,2.12869456520421e-19,TRUE,"Hunting",0,"linear",TRUE
"45",2.80714744854824e-92,1.85630952151643e-23,TRUE,"Hunting",0,"linear",TRUE
