"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.01040872079235e-10,0.584317390837731,TRUE,"Gathering",1,"linear",TRUE
"2",2.60920387419619e-13,0.407484337085433,TRUE,"Gathering",1,"linear",TRUE
"3",5.68409322469595e-12,0.486377822933281,TRUE,"Gathering",1,"linear",TRUE
"4",6.98759660023958e-14,0.416865657732649,TRUE,"Gathering",1,"linear",TRUE
"5",7.15841416295137e-12,0.17782941984796,TRUE,"Gathering",1,"linear",TRUE
"6",9.06199595013911e-13,0.352984711856102,TRUE,"Gathering",1,"linear",TRUE
"7",5.98189625339076e-12,0.645855649096605,TRUE,"Gathering",1,"linear",TRUE
"8",9.60803355544646e-09,0.677038011243241,TRUE,"Gathering",1,"linear",TRUE
"9",1.12809623313419e-10,0.116706655305256,TRUE,"Gathering",1,"linear",TRUE
"10",4.68546980885783e-13,0.571045609627658,TRUE,"Gathering",1,"linear",TRUE
"11",0,5.29803856580413e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,0.000803928046195501,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,0.00552356426413619,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,0.000362972793121807,TRUE,"Gathering",1,"nonlinear",TRUE
"15",0,6.02669586624582e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,1.60945419214187e-08,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.00102077648156068,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,4.42372600439889e-07,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,0.00157828547771199,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,0.00226994222304278,TRUE,"Gathering",1,"nonlinear",TRUE
"21",1.69544891862493e-05,0.539765561368884,TRUE,"Hunting",1,"linear",TRUE
"22",0.000269007630767696,0.949203620494455,TRUE,"Hunting",1,"linear",TRUE
"23",0.00070489246522703,0.812181507017217,TRUE,"Hunting",1,"linear",TRUE
"24",9.56148792605524e-05,0.221889841167227,TRUE,"Hunting",1,"linear",TRUE
"25",0.000432913852709789,0.93545615857509,TRUE,"Hunting",1,"linear",TRUE
"26",0.000349648228699277,0.0211638411157649,TRUE,"Hunting",1,"linear",TRUE
"27",0.000113450166216333,0.0439691261985784,TRUE,"Hunting",1,"linear",TRUE
"28",0.0338799681948822,0.721360390271105,TRUE,"Hunting",1,"linear",TRUE
"29",0.000102989501333316,0.393665452981491,TRUE,"Hunting",1,"linear",TRUE
"30",0.000165109475912406,0.42325453248349,TRUE,"Hunting",1,"linear",TRUE
"31",0.00646133784784231,0.144074387548957,TRUE,"Hunting",1,"nonlinear",TRUE
"32",0.00178092405588548,0.23959415960488,TRUE,"Hunting",1,"nonlinear",TRUE
"33",0.000988963642519269,0.0303643817504031,TRUE,"Hunting",1,"nonlinear",TRUE
"34",0.00878319507033953,0.411128346751248,TRUE,"Hunting",1,"nonlinear",TRUE
"35",0.00206546447544254,0.00938440498602683,TRUE,"Hunting",1,"nonlinear",TRUE
"36",0.00592350190944896,0.0192362916545414,TRUE,"Hunting",1,"nonlinear",TRUE
"37",2.77708679922717e-05,0.181855557318315,TRUE,"Hunting",1,"nonlinear",TRUE
"38",0.000121999593793554,0.0353328060012507,TRUE,"Hunting",1,"nonlinear",TRUE
"39",0.00828913422081884,0.0970150230896721,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.00190074744516661,0.172427562516999,TRUE,"Hunting",1,"nonlinear",TRUE
