"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",5.0992156776016e-09,0.582364890694418,TRUE,"Gathering",1,"linear",TRUE
"2",2.18147780130267e-13,0.642222274090195,TRUE,"Gathering",1,"linear",TRUE
"3",2.47652653029356e-13,0.491944966472122,TRUE,"Gathering",1,"linear",TRUE
"4",2.60427099362773e-07,0.589246300019068,TRUE,"Gathering",1,"linear",TRUE
"5",4.25080937038334e-17,0.976222641381571,TRUE,"Gathering",1,"linear",TRUE
"6",1.60607455091758e-05,0.650016411706639,TRUE,"Gathering",1,"linear",TRUE
"7",3.41714357745817e-11,0.111610448627284,TRUE,"Gathering",1,"linear",TRUE
"8",2.08268266390602e-11,0.715734337618453,TRUE,"Gathering",1,"linear",TRUE
"9",3.09334483267367e-07,0.529710016483455,TRUE,"Gathering",1,"linear",TRUE
"10",1.87550918172509e-13,0.854899570141617,TRUE,"Gathering",1,"linear",TRUE
"11",0,2.37574263800555e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,3.46430242965101e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,0.000547265600668201,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,0.000808453770431927,TRUE,"Gathering",1,"nonlinear",TRUE
"15",7.53708501499695e-07,0.162610958015295,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,0.00262249290512406,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.00122503327157136,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,2.06828873272613e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,4.7840874907501e-05,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,0.00327530711702551,TRUE,"Gathering",1,"nonlinear",TRUE
"21",0.0733190746696712,0.944788083096965,TRUE,"Hunting",1,"linear",TRUE
"22",0.000829867488590569,0.0697164589194414,TRUE,"Hunting",1,"linear",TRUE
"23",6.37661039572222e-05,0.424116783404031,TRUE,"Hunting",1,"linear",TRUE
"24",0.00368474196672378,0.654932411474688,TRUE,"Hunting",1,"linear",TRUE
"25",0.000111073087263007,0.234026893187431,TRUE,"Hunting",1,"linear",TRUE
"26",0.000167356448158608,0.470643069644267,TRUE,"Hunting",1,"linear",TRUE
"27",0.000144131605865966,0.659067280191415,TRUE,"Hunting",1,"linear",TRUE
"28",0.101453093688812,0.154607737731352,TRUE,"Hunting",1,"linear",TRUE
"29",0.000470120331067939,0.740267893591513,TRUE,"Hunting",1,"linear",TRUE
"30",0.000351877247008629,0.629729554841643,TRUE,"Hunting",1,"linear",TRUE
"31",0.000293408557428709,0.0457041182742551,TRUE,"Hunting",1,"nonlinear",TRUE
"32",0.0321158679138504,0.038593349308373,TRUE,"Hunting",1,"nonlinear",TRUE
"33",6.71559868229421e-05,0.0563330222305015,TRUE,"Hunting",1,"nonlinear",TRUE
"34",0.000410210723996884,5.7929751607122e-05,TRUE,"Hunting",1,"nonlinear",TRUE
"35",0.00133592522232595,0.152467133483262,TRUE,"Hunting",1,"nonlinear",TRUE
"36",0.000981857998654911,0.00436158400765196,TRUE,"Hunting",1,"nonlinear",TRUE
"37",0.0116487305326868,0.00938406739366782,TRUE,"Hunting",1,"nonlinear",TRUE
"38",0.00209047794626077,0.0921662207991075,TRUE,"Hunting",1,"nonlinear",TRUE
"39",0.000512937735782926,0.0554962724251287,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.0174493835681522,0.00508943031281162,TRUE,"Hunting",1,"nonlinear",TRUE
