"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",3.53529139478076e-132,1.23909991453217e-20,TRUE,"Gathering",0,"linear",TRUE
"2",7.11384738541339e-124,4.77170798004553e-24,TRUE,"Gathering",0,"linear",TRUE
"3",1.28143798388002e-130,5.54819076664644e-25,TRUE,"Gathering",0,"linear",TRUE
"4",3.10028711399129e-129,1.07810669490713e-19,TRUE,"Gathering",0,"linear",TRUE
"5",1.15930529129384e-136,1.50822006215165e-23,TRUE,"Gathering",0,"linear",TRUE
"6",1.37207282120635e-127,2.27079771770742e-23,TRUE,"Gathering",0,"linear",TRUE
"7",2.33603495941649e-153,1.35954106951876e-22,TRUE,"Gathering",0,"linear",TRUE
"8",1.72661184042123e-132,3.3822654732889e-20,TRUE,"Gathering",0,"linear",TRUE
"9",3.3121998743513e-130,1.66609744653289e-22,TRUE,"Gathering",0,"linear",TRUE
"10",4.55753558487479e-143,4.97677174845734e-19,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",4.29825130677194e-73,1.31373969825882e-19,TRUE,"Hunting",0,"linear",TRUE
"22",7.50393330874426e-82,6.25143846404586e-25,TRUE,"Hunting",0,"linear",TRUE
"23",1.63121511303397e-90,6.88115086735804e-20,TRUE,"Hunting",0,"linear",TRUE
"24",1.13494847588901e-87,3.74436651421447e-27,TRUE,"Hunting",0,"linear",TRUE
"25",1.06297621828723e-71,1.02558833919074e-24,TRUE,"Hunting",0,"linear",TRUE
"26",1.31611651123545e-80,2.50742134700318e-23,TRUE,"Hunting",0,"linear",TRUE
"27",2.20876337424565e-89,7.24303308172265e-16,TRUE,"Hunting",0,"linear",TRUE
"28",5.81354715368773e-82,2.09262965418109e-22,TRUE,"Hunting",0,"linear",TRUE
"29",8.39127503444941e-83,4.461444562488e-17,TRUE,"Hunting",0,"linear",TRUE
"30",4.44406500581887e-76,1.04313649235231e-24,TRUE,"Hunting",0,"linear",TRUE
"31",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"32",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"33",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"34",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"35",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"36",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"37",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"38",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"39",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"40",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
