"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",2.32204540864614e-18,0.602005460138644,TRUE,"Gathering",1,"linear",TRUE
"2",3.55170791045598e-10,0.445592969371895,TRUE,"Gathering",1,"linear",TRUE
"3",1.18428847585694e-08,0.78264679302878,TRUE,"Gathering",1,"linear",TRUE
"4",4.71495342019162e-16,0.821114745014152,TRUE,"Gathering",1,"linear",TRUE
"5",1.48377503495222e-16,0.102627483946336,TRUE,"Gathering",1,"linear",TRUE
"6",1.45469292041659e-17,0.292060170687964,TRUE,"Gathering",1,"linear",TRUE
"7",6.58898398147682e-15,0.344658979374647,TRUE,"Gathering",1,"linear",TRUE
"8",6.94848035382521e-17,0.0209745421284304,TRUE,"Gathering",1,"linear",TRUE
"9",2.83171056070857e-15,0.416557316548318,TRUE,"Gathering",1,"linear",TRUE
"10",8.3748341901477e-14,0.199998058293124,TRUE,"Gathering",1,"linear",TRUE
"11",0,0.00164460221173879,TRUE,"Gathering",1,"nonlinear",TRUE
"12",0,0.00603901042489469,TRUE,"Gathering",1,"nonlinear",TRUE
"13",0,6.75891644574822e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"14",0,0.0190817948795857,TRUE,"Gathering",1,"nonlinear",TRUE
"15",0,0.00582656462224151,TRUE,"Gathering",1,"nonlinear",TRUE
"16",0,8.92436580862688e-06,TRUE,"Gathering",1,"nonlinear",TRUE
"17",0,0.0200201352312448,TRUE,"Gathering",1,"nonlinear",TRUE
"18",0,0.00429466717666577,TRUE,"Gathering",1,"nonlinear",TRUE
"19",0,0.000226939630438239,TRUE,"Gathering",1,"nonlinear",TRUE
"20",0,0.200983284270318,TRUE,"Gathering",1,"nonlinear",TRUE
"21",0.00101307420501566,0.247822779769256,TRUE,"Hunting",1,"linear",TRUE
"22",0.00181403229541229,0.178557846538158,TRUE,"Hunting",1,"linear",TRUE
"23",9.77110796965224e-06,0.0522107637244831,TRUE,"Hunting",1,"linear",TRUE
"24",0.000340266701435188,0.780705446351934,TRUE,"Hunting",1,"linear",TRUE
"25",1.9877434122657e-07,0.765122620033708,TRUE,"Hunting",1,"linear",TRUE
"26",0.00156036513262841,0.445051271808988,TRUE,"Hunting",1,"linear",TRUE
"27",0.039753145281681,0.773135843153589,TRUE,"Hunting",1,"linear",TRUE
"28",0.00683326115717575,0.968168435874182,TRUE,"Hunting",1,"linear",TRUE
"29",4.65689022221305e-05,0.981228341587737,TRUE,"Hunting",1,"linear",TRUE
"30",0.000156819074322601,0.308590692165466,TRUE,"Hunting",1,"linear",TRUE
"31",2.42653370752244e-06,0.00015117554111832,TRUE,"Hunting",1,"nonlinear",TRUE
"32",0.00731308691907839,0.0019440431815142,TRUE,"Hunting",1,"nonlinear",TRUE
"33",0.000548994589471608,7.50473379140248e-05,TRUE,"Hunting",1,"nonlinear",TRUE
"34",2.3943219903122e-05,0.0983111183158212,TRUE,"Hunting",1,"nonlinear",TRUE
"35",0,0.0160098230571653,TRUE,"Hunting",1,"nonlinear",TRUE
"36",3.48861585979798e-05,0.00426710991737489,TRUE,"Hunting",1,"nonlinear",TRUE
"37",6.35915788413377e-05,0.0442733435148474,TRUE,"Hunting",1,"nonlinear",TRUE
"38",1.8679801398469e-06,0.0207774888047414,TRUE,"Hunting",1,"nonlinear",TRUE
"39",7.19334558367257e-05,0.00232294636723923,TRUE,"Hunting",1,"nonlinear",TRUE
"40",0.000246677832403008,0.173090579794708,TRUE,"Hunting",1,"nonlinear",TRUE
