"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE"
"1","Hunting",0,"P","standard_context","Q-P","regime_comtext","linear",0.0099115871003404,0.0111237572751437,0.0012121701748033,-31.9149740500779,-36.0964582577799,-4.18148420770194
"2","Hunting",0,"P","standard_context","Q-P","regime_comtext","nonlinear",0.0106840908823964,0.0118574540174864,0.00117336313508992,-34.4758134031053,-38.5493292860647,-4.07351588295933
"3","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","linear",0.0099115871003404,0.00922767675012323,-0.000683910350217171,-31.9149740500779,-29.62165191862,2.2933221314579
"4","Hunting",0,"P","standard_context","fillerQ-P","dots_control_context","nonlinear",0.0106840908823964,0.0106504023270986,-3.36885552978672e-05,-34.4758134031053,-34.3316864446515,0.144126958453853
"5","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","linear",0.0099115871003404,0.00906050170040024,-0.000851085399940166,-31.9149740500779,-28.9555554999497,2.95941855012825
"6","Hunting",0,"P","standard_context","textFillQ-P","text_control_context","nonlinear",0.0106840908823964,0.0100460403282299,-0.000638050554166492,-34.4758134031053,-32.1889813963135,2.28683200679188
"7","Gathering",1,"P","standard_context","P-P","regime_comtext","linear",0.00821342052079765,0.000716369560582769,-0.00749705096021488,-22.0295478036314,-1.64400211962675,20.3855456840047
"8","Gathering",1,"P","standard_context","P-P","regime_comtext","nonlinear",0.00889123813175063,0.00332772787496664,-0.00556351025678399,-23.8511281840183,-7.67426523649374,16.1768629475246
"9","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","linear",0.00821342052079765,0.00742885956261954,-0.00078456095817811,-22.0295478036314,-19.7357797191817,2.29376808444977
"10","Gathering",1,"P","standard_context","fillerP-P","dots_control_context","nonlinear",0.00889123813175063,0.00946787585844699,0.000576637726696361,-23.8511281840183,-25.4041897856569,-1.55306160163855
"11","Gathering",1,"P","standard_context","textFillP-P","text_control_context","linear",0.00821342052079765,0.00679411941200744,-0.00141930110879021,-22.0295478036314,-17.70111893582,4.32842886781145
"12","Gathering",1,"P","standard_context","textFillP-P","text_control_context","nonlinear",0.00889123813175063,0.00728877720868715,-0.00160246092306349,-23.8511281840183,-18.9997190760114,4.85140910800692
"13","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","linear",0.0030308567255178,-0.000520969466666896,-0.00355182619218469,-4.86047476415115,0.913354004350367,5.77382876850152
"14","Hunting",1,"P","standard_context","Qfr-P-Q-P","regime_comtext","nonlinear",0.00363197616349861,0.000200014530000972,-0.00343196163349764,-5.88955555288703,-0.0805084600697228,5.80904709281731
"15","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","linear",0.0030308567255178,0.00368012388186879,0.000649267156350997,-4.86047476415115,-6.02956051732417,-1.16908575317302
"16","Hunting",1,"P","standard_context","fillerQfr-fillerP-fillerQ-P","dots_control_context","nonlinear",0.00363197616349861,0.0038177609642473,0.000185784800748684,-5.88955555288703,-6.21415229156082,-0.32459673867379
