"","x","y","has_preview_condition","reread_condition"
"1",0,1610.59418415731,"Gathering",1
"2",4.86378608026673e-07,1615.7290701786,"Gathering",1
"3",9.72757216053346e-07,1620.84129651675,"Gathering",1
"4",1.45913582408002e-06,1625.90954468233,"Gathering",1
"5",1.94551443210669e-06,1630.95995568019,"Gathering",1
"6",2.43189304013337e-06,1635.97246562945,"Gathering",1
"7",2.91827164816004e-06,1640.95413543938,"Gathering",1
"8",3.40465025618671e-06,1645.91549689162,"Gathering",1
"9",3.89102886421339e-06,1650.82696907752,"Gathering",1
"10",4.37740747224006e-06,1655.71963825921,"Gathering",1
"11",4.86378608026673e-06,1660.57617891772,"Gathering",1
"12",5.35016468829341e-06,1665.39663159863,"Gathering",1
"13",5.83654329632008e-06,1670.19793093794,"Gathering",1
"14",6.32292190434675e-06,1674.94636497898,"Gathering",1
"15",6.80930051237342e-06,1679.67348073732,"Gathering",1
"16",7.2956791204001e-06,1684.3666600978,"Gathering",1
"17",7.78205772842677e-06,1689.01823687258,"Gathering",1
"18",8.26843633645344e-06,1693.64975550863,"Gathering",1
"19",8.75481494448012e-06,1698.23008687351,"Gathering",1
"20",9.24119355250679e-06,1702.78419435612,"Gathering",1
"21",9.72757216053346e-06,1707.30695887558,"Gathering",1
"22",1.02139507685601e-05,1711.78236866986,"Gathering",1
"23",1.07003293765868e-05,1716.23686332865,"Gathering",1
"24",1.11867079846135e-05,1720.64227663302,"Gathering",1
"25",1.16730865926402e-05,1725.01630249044,"Gathering",1
"26",1.21594652006668e-05,1729.36195946758,"Gathering",1
"27",1.26458438086935e-05,1733.65430300931,"Gathering",1
"28",1.31322224167202e-05,1737.9249252421,"Gathering",1
"29",1.36186010247468e-05,1742.1489800935,"Gathering",1
"30",1.41049796327735e-05,1746.3362556938,"Gathering",1
"31",1.45913582408002e-05,1750.49849425227,"Gathering",1
"32",1.50777368488269e-05,1754.60128658615,"Gathering",1
"33",1.55641154568535e-05,1758.6816050623,"Gathering",1
"34",1.60504940648802e-05,1762.71825605702,"Gathering",1
"35",1.65368726729069e-05,1766.71253904979,"Gathering",1
"36",1.70232512809336e-05,1770.68408094483,"Gathering",1
"37",1.75096298889602e-05,1774.59264092938,"Gathering",1
"38",1.79960084969869e-05,1778.47666201605,"Gathering",1
"39",1.84823871050136e-05,1782.32027717752,"Gathering",1
"40",1.89687657130403e-05,1786.11577129966,"Gathering",1
"41",1.94551443210669e-05,1789.88785059463,"Gathering",1
"42",1.99415229290936e-05,1793.59985813948,"Gathering",1
"43",2.04279015371203e-05,1797.2820446667,"Gathering",1
"44",2.09142801451469e-05,1800.92742223829,"Gathering",1
"45",2.14006587531736e-05,1804.51879526473,"Gathering",1
"46",2.18870373612003e-05,1808.08613910172,"Gathering",1
"47",2.2373415969227e-05,1811.59668774498,"Gathering",1
"48",2.28597945772536e-05,1815.07197586534,"Gathering",1
"49",2.33461731852803e-05,1818.51435938034,"Gathering",1
"50",2.3832551793307e-05,1821.89675913393,"Gathering",1
"51",2.43189304013337e-05,1825.25457664354,"Gathering",1
"52",2.48053090093603e-05,1828.55921426901,"Gathering",1
"53",2.5291687617387e-05,1831.82302833291,"Gathering",1
"54",2.57780662254137e-05,1835.05811989418,"Gathering",1
"55",2.62644448334404e-05,1838.2271882405,"Gathering",1
"56",2.6750823441467e-05,1841.37118426133,"Gathering",1
"57",2.72372020494937e-05,1844.46592515222,"Gathering",1
"58",2.77235806575204e-05,1847.51419053138,"Gathering",1
"59",2.8209959265547e-05,1850.53721657751,"Gathering",1
"60",2.86963378735737e-05,1853.49004700888,"Gathering",1
"61",2.91827164816004e-05,1856.41643372246,"Gathering",1
"62",2.96690950896271e-05,1859.29776873557,"Gathering",1
"63",3.01554736976537e-05,1862.12692254003,"Gathering",1
"64",3.06418523056804e-05,1864.93043676629,"Gathering",1
