,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,3.20428447501674e-193,6.2667079480567495e-30,Gathering,0,linear,True,P,standard_contxt,3.2042844750167398e-192,6.26670794805675e-29
1,2,2,6.37724578867536e-188,1.11926405266963e-23,Gathering,0,linear,True,P,standard_contxt,6.377245788675361e-187,1.1192640526696301e-22
2,3,3,2.53921861521479e-184,4.721747709133069e-30,Gathering,0,linear,True,P,standard_contxt,2.53921861521479e-183,4.721747709133069e-29
3,4,4,6.243320443650771e-205,8.51428126730086e-29,Gathering,0,linear,True,P,standard_contxt,6.243320443650771e-204,8.51428126730086e-28
4,5,5,3.2189607240838296e-187,4.478663513634421e-19,Gathering,0,linear,True,P,standard_contxt,3.2189607240838297e-186,4.478663513634421e-18
5,6,6,7.83900744417962e-200,4.48678793997945e-29,Gathering,0,linear,True,P,standard_contxt,7.839007444179621e-199,4.48678793997945e-28
6,7,7,1.7666410841683598e-185,7.0794565497456e-23,Gathering,0,linear,True,P,standard_contxt,1.7666410841683598e-184,7.079456549745599e-22
7,8,8,3.4979907682180996e-214,5.981463950248739e-22,Gathering,0,linear,True,P,standard_contxt,3.4979907682181e-213,5.98146395024874e-21
8,9,9,1.61087514921641e-199,2.09416547910215e-26,Gathering,0,linear,True,P,standard_contxt,1.6108751492164101e-198,2.09416547910215e-25
9,10,10,1.0037375347077501e-194,1.19493638187546e-24,Gathering,0,linear,True,P,standard_contxt,1.00373753470775e-193,1.1949363818754601e-23
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,0.0,0.0
20,21,21,1.27432279699409e-16,0.132839134696295,Gathering,1,linear,True,P,standard_contxt,1.2743227969940901e-15,1.0
21,22,22,3.2964946059639502e-21,0.28646228848104,Gathering,1,linear,True,P,standard_contxt,3.29649460596395e-20,1.0
22,23,23,1.51361896589094e-20,0.0955060012012403,Gathering,1,linear,True,P,standard_contxt,1.51361896589094e-19,0.955060012012403
23,24,24,1.4995902783440797e-11,0.354800438096103,Gathering,1,linear,True,P,standard_contxt,1.4995902783440798e-10,1.0
24,25,25,6.42071999267427e-13,0.0053908577222504,Gathering,1,linear,True,P,standard_contxt,6.42071999267427e-12,0.053908577222504
25,26,26,2.18490232670217e-25,0.129684391740826,Gathering,1,linear,True,P,standard_contxt,2.18490232670217e-24,1.0
26,27,27,1.3693648303358601e-19,0.358940776201654,Gathering,1,linear,True,P,standard_contxt,1.3693648303358602e-18,1.0
27,28,28,1.4558859199762702e-20,0.601966077211345,Gathering,1,linear,True,P,standard_contxt,1.4558859199762702e-19,1.0
