"","surp_p_val","prev_surp_p_val","converged","critical_span_condition","reread_condition","linear","additive_model"
"1",6.37347159013848e-201,1.89568173745652e-81,TRUE,0,0,"linear",TRUE
"2",9.13987305376876e-219,3.19515236758341e-92,TRUE,0,0,"linear",TRUE
"3",6.08893709975263e-189,6.34928334585929e-77,TRUE,0,0,"linear",TRUE
"4",3.12499032815922e-204,1.72270581737171e-94,TRUE,0,0,"linear",TRUE
"5",5.24244461362554e-202,3.92418390469536e-75,TRUE,0,0,"linear",TRUE
"6",2.06612714673663e-217,3.13843494437928e-95,TRUE,0,0,"linear",TRUE
"7",1.2489302835834e-211,4.97121309596603e-94,TRUE,0,0,"linear",TRUE
"8",1.37436695353363e-213,5.05208225546043e-87,TRUE,0,0,"linear",TRUE
"9",4.28666152112333e-193,7.41149117937103e-75,TRUE,0,0,"linear",TRUE
"10",2.52774300655679e-186,1.66274529987825e-87,TRUE,0,0,"linear",TRUE
"11",0,0,TRUE,0,0,"nonlinear",TRUE
"12",0,0,TRUE,0,0,"nonlinear",TRUE
"13",0,0,TRUE,0,0,"nonlinear",TRUE
"14",0,0,TRUE,0,0,"nonlinear",TRUE
"15",0,0,TRUE,0,0,"nonlinear",TRUE
"16",0,0,TRUE,0,0,"nonlinear",TRUE
"17",0,0,TRUE,0,0,"nonlinear",TRUE
"18",0,0,TRUE,0,0,"nonlinear",TRUE
"19",0,0,TRUE,0,0,"nonlinear",TRUE
"20",0,0,TRUE,0,0,"nonlinear",TRUE
"21",5.16808990530077e-13,3.10736856477445e-05,TRUE,0,1,"linear",TRUE
"22",3.14589702538325e-10,0.00274376901396351,TRUE,0,1,"linear",TRUE
"23",3.40358832725573e-16,0.000259311979018318,TRUE,0,1,"linear",TRUE
"24",1.77447716683803e-13,0.00212264586082098,TRUE,0,1,"linear",TRUE
"25",7.90219735658736e-09,0.00374083453207532,TRUE,0,1,"linear",TRUE
"26",1.14818092523989e-09,0.000157662398171274,TRUE,0,1,"linear",TRUE
"27",1.42976699509621e-07,0.00563366225224611,TRUE,0,1,"linear",TRUE
"28",3.10119011632214e-11,0.00215914760733885,TRUE,0,1,"linear",TRUE
"29",1.82008657003417e-06,0.000781667075913683,TRUE,0,1,"linear",TRUE
"30",4.4719726522771e-14,0.341695954790901,TRUE,0,1,"linear",TRUE
"31",0,0.00444076183602754,TRUE,0,1,"nonlinear",TRUE
"32",0,5.76283273256983e-06,TRUE,0,1,"nonlinear",TRUE
"33",0,0.000177404627764721,TRUE,0,1,"nonlinear",TRUE
"34",0,9.41123034463032e-05,TRUE,0,1,"nonlinear",TRUE
"35",0,0.045814078121942,TRUE,0,1,"nonlinear",TRUE
"36",0,0.0119470856013423,TRUE,0,1,"nonlinear",TRUE
"37",0,0.0208986880585704,TRUE,0,1,"nonlinear",TRUE
"38",0,0.000423055782431458,TRUE,0,1,"nonlinear",TRUE
"39",0,0.0108454720888987,TRUE,0,1,"nonlinear",TRUE
"40",0,0.0204107402108046,TRUE,0,1,"nonlinear",TRUE
"41",2.54896464059584e-62,4.65641864001976e-26,TRUE,1,0,"linear",TRUE
"42",1.1588455488574e-73,5.67724375792802e-28,TRUE,1,0,"linear",TRUE
"43",4.21059793042866e-60,5.36855669554772e-35,TRUE,1,0,"linear",TRUE
"44",4.42725792829223e-52,1.25623611117765e-29,TRUE,1,0,"linear",TRUE
"45",1.4850537461227e-59,2.35296778366858e-30,TRUE,1,0,"linear",TRUE
"46",5.27642833325787e-79,8.85233926725697e-35,TRUE,1,0,"linear",TRUE
"47",1.03065814113809e-63,1.79789599787447e-31,TRUE,1,0,"linear",TRUE
"48",1.42875142153613e-71,3.36091082488938e-25,TRUE,1,0,"linear",TRUE
