"","m","upper","lower","norm_upper","norm_lower","w_norm_CI","w_new_CI","has_preview_condition","reread_condition","linear","new_p_val","n_sim"
"1",0.00120797105903988,0.00135687986021494,0.00105729845926838,0.00135536881335429,0.00106057330472548,0.000294795508628813,0.000299581400946563,"Gathering",0,"linear",0.001,1000
"2",0.00152304596923005,0.00167815777416759,0.00137101745635253,0.00167653957621915,0.00136955236224096,0.000306987213978191,0.000307140317815061,"Gathering",0,"nonlinear",0.001,1000
"3",0.00120797105903988,0.00135687986021494,0.00105729845926838,0.00135536881335429,0.00106057330472548,0.000294795508628813,0.000299581400946563,"Gathering",0,"linear",0.001,1000
"5",0.00120797105903988,0.00135687986021494,0.00105729845926838,0.00135536881335429,0.00106057330472548,0.000294795508628813,0.000299581400946563,"Gathering",0,"linear",0.001,1000
"7",0.000422712377282656,0.00069328093885733,0.000138834149574513,0.000706011421950423,0.000139413332614889,0.000566598089335534,0.000554446789282817,"Gathering",1,"linear",0.004,1000
"8",0.000665847153122503,0.000976106514186449,0.000372806491585381,0.00096678245147747,0.000364911854767536,0.000601870596709935,0.000603300022601068,"Gathering",1,"nonlinear",0.001,1000
"9",0.000422712377282656,0.00069328093885733,0.000138834149574513,0.000706011421950423,0.000139413332614889,0.000566598089335534,0.000554446789282817,"Gathering",1,"linear",0.004,1000
"11",0.000422712377282656,0.00069328093885733,0.000138834149574513,0.000706011421950423,0.000139413332614889,0.000566598089335534,0.000554446789282817,"Gathering",1,"linear",0.004,1000
"13",0.000864603058669238,0.00101561957811932,0.000728224444851007,0.00100581248972387,0.000723393627614607,0.000282418862109262,0.000287395133268312,"Hunting",0,"linear",0.001,1000
"14",0.001200596743796,0.00136021308227676,0.00105313019005815,0.00134978144081707,0.00105141204677493,0.000298369394042136,0.000307082892218615,"Hunting",0,"nonlinear",0.001,1000
"15",0.000864603058669238,0.00101561957811932,0.000728224444851007,0.00100581248972387,0.000723393627614607,0.000282418862109262,0.000287395133268312,"Hunting",0,"linear",0.001,1000
"17",0.000864603058669238,0.00101561957811932,0.000728224444851007,0.00100581248972387,0.000723393627614607,0.000282418862109262,0.000287395133268312,"Hunting",0,"linear",0.001,1000
"19",0.000208758454146893,0.000450154899280225,-2.16891545428674e-05,0.000441248022704099,-2.3731114410314e-05,0.000464979137114413,0.000471844053823092,"Hunting",1,"linear",0.07,1000
"20",0.000458081287759901,0.00073338759921088,0.000205896268798686,0.000719727081120843,0.000196435494398959,0.000523291586721884,0.000527491330412194,"Hunting",1,"nonlinear",0.001,1000
"21",0.000208758454146893,0.000450154899280225,-2.16891545428674e-05,0.000441248022704099,-2.3731114410314e-05,0.000464979137114413,0.000471844053823092,"Hunting",1,"linear",0.07,1000
"23",0.000208758454146893,0.000450154899280225,-2.16891545428674e-05,0.000441248022704099,-2.3731114410314e-05,0.000464979137114413,0.000471844053823092,"Hunting",1,"linear",0.07,1000
