"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_condition","linear","additive_model"
"1",9.44498549261008e-168,8.23090706156951e-32,TRUE,"Gathering",0,"linear",TRUE
"2",2.83855629394009e-173,1.07689333162534e-33,TRUE,"Gathering",0,"linear",TRUE
"3",4.30131871383251e-171,5.98210519731116e-38,TRUE,"Gathering",0,"linear",TRUE
"4",2.28095767875269e-172,4.66872546393351e-33,TRUE,"Gathering",0,"linear",TRUE
"5",1.09490157076789e-161,3.29433575736834e-35,TRUE,"Gathering",0,"linear",TRUE
"6",9.45227421346871e-157,6.33748872985766e-37,TRUE,"Gathering",0,"linear",TRUE
"7",3.81746000817781e-203,8.6709471235755e-31,TRUE,"Gathering",0,"linear",TRUE
"8",6.92877719620222e-163,1.86346011001718e-30,TRUE,"Gathering",0,"linear",TRUE
"9",9.23239017959067e-180,1.80902550288768e-29,TRUE,"Gathering",0,"linear",TRUE
"10",2.8457098294306e-180,8.24222813610435e-34,TRUE,"Gathering",0,"linear",TRUE
"11",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"12",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"13",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"14",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"15",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"16",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"17",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"18",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"19",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"20",0,0,TRUE,"Gathering",0,"nonlinear",TRUE
"21",1.23401437283802e-13,0.0962269589452926,TRUE,"Gathering",1,"linear",TRUE
"22",3.61207282377049e-20,0.131759089791743,TRUE,"Gathering",1,"linear",TRUE
"23",6.81612785800314e-12,6.76146383776481e-05,TRUE,"Gathering",1,"linear",TRUE
"24",1.22629405985015e-12,0.00641222416299666,TRUE,"Gathering",1,"linear",TRUE
"25",1.51142941971731e-15,0.0386003702272002,TRUE,"Gathering",1,"linear",TRUE
"26",3.05594898409943e-14,0.00419854585279795,TRUE,"Gathering",1,"linear",TRUE
"27",3.67665855020277e-09,0.000200371542570411,TRUE,"Gathering",1,"linear",TRUE
"28",5.14199402612598e-15,0.000571980981172697,TRUE,"Gathering",1,"linear",TRUE
"29",8.48957727489639e-11,0.186563511943954,TRUE,"Gathering",1,"linear",TRUE
"30",1.80371706251445e-16,0.00230151848374855,TRUE,"Gathering",1,"linear",TRUE
"31",0,0.00481971541942627,TRUE,"Gathering",1,"nonlinear",TRUE
"32",0,0.000680561484653452,TRUE,"Gathering",1,"nonlinear",TRUE
"33",0,0.0267736430772854,TRUE,"Gathering",1,"nonlinear",TRUE
"34",0,0.010306137591816,TRUE,"Gathering",1,"nonlinear",TRUE
"35",0,0.00347264571664918,TRUE,"Gathering",1,"nonlinear",TRUE
"36",0,0.00100171586682629,TRUE,"Gathering",1,"nonlinear",TRUE
"37",0,0.00197133921887294,TRUE,"Gathering",1,"nonlinear",TRUE
"38",0,0.000930276256165263,TRUE,"Gathering",1,"nonlinear",TRUE
"39",0,0.17019655108012,TRUE,"Gathering",1,"nonlinear",TRUE
"40",0,0.00729556280000065,TRUE,"Gathering",1,"nonlinear",TRUE
"41",3.77939463623844e-109,1.15941082609137e-27,TRUE,"Hunting",0,"linear",TRUE
"42",3.503654826637e-107,1.48947258118868e-34,TRUE,"Hunting",0,"linear",TRUE
"43",1.97695385660705e-98,8.33941427904856e-43,TRUE,"Hunting",0,"linear",TRUE
"44",1.42128700623976e-108,6.86154074296736e-26,TRUE,"Hunting",0,"linear",TRUE
"45",6.23967533709217e-116,7.99102491895043e-36,TRUE,"Hunting",0,"linear",TRUE
"46",4.87641059670103e-113,4.04455458289377e-30,TRUE,"Hunting",0,"linear",TRUE
"47",1.70790672113222e-123,1.37539770398835e-42,TRUE,"Hunting",0,"linear",TRUE
"48",2.82781972317185e-107,1.77454021781466e-34,TRUE,"Hunting",0,"linear",TRUE
"49",1.30368206167671e-96,4.99127970390659e-35,TRUE,"Hunting",0,"linear",TRUE
"50",6.52550209632629e-102,1.94642514184489e-36,TRUE,"Hunting",0,"linear",TRUE
"51",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"52",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"53",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"54",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"55",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"56",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"57",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"58",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"59",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"60",0,0,TRUE,"Hunting",0,"nonlinear",TRUE
"61",0.00101226511635018,0.753737014140906,TRUE,"Hunting",1,"linear",TRUE
"62",0.00406436678503699,0.433200920334293,TRUE,"Hunting",1,"linear",TRUE
"63",0.000584830231602568,0.691958918223621,TRUE,"Hunting",1,"linear",TRUE
"64",5.14281026519766e-06,0.0146684273775087,TRUE,"Hunting",1,"linear",TRUE
"65",0.00613674180351067,0.0543985485609103,TRUE,"Hunting",1,"linear",TRUE
"66",0.00421279444106869,0.0934696893048707,TRUE,"Hunting",1,"linear",TRUE
"67",0.00051087698196593,0.925470310990971,TRUE,"Hunting",1,"linear",TRUE
"68",0.000264223695190583,0.0273417736512178,TRUE,"Hunting",1,"linear",TRUE
"69",9.7278237613462e-07,0.575041985932455,TRUE,"Hunting",1,"linear",TRUE
"70",4.16957969699729e-06,0.517948468601035,TRUE,"Hunting",1,"linear",TRUE
"71",0.00277843306613951,0.000386366774714597,TRUE,"Hunting",1,"nonlinear",TRUE
"72",0.0100582240466796,0.00199017250719113,TRUE,"Hunting",1,"nonlinear",TRUE
"73",1.12596959890299e-05,0.765483832804868,TRUE,"Hunting",1,"nonlinear",TRUE
"74",0.0015085129326618,0.0853719732727911,TRUE,"Hunting",1,"nonlinear",TRUE
"75",0.000663825808222496,0.125425991162969,TRUE,"Hunting",1,"nonlinear",TRUE
"76",5.48033746428089e-06,0.154828669239017,TRUE,"Hunting",1,"nonlinear",TRUE
"77",1.33521140105453e-06,0.160790388937272,TRUE,"Hunting",1,"nonlinear",TRUE
"78",0.000465840259332884,0.596087296808889,TRUE,"Hunting",1,"nonlinear",TRUE
"79",0.00020246639660948,0.451130947503803,TRUE,"Hunting",1,"nonlinear",TRUE
"80",0.000559641267505517,0.275352240646931,TRUE,"Hunting",1,"nonlinear",TRUE
