,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,has_preview_condition,reread_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1.83032939339732e-174,7.12226079929505e-31,True,Gathering,0,linear,True,1.83032939339732e-173,7.12226079929505e-30
1,2,7.432146876673109e-195,1.81161456207853e-23,True,Gathering,0,linear,True,7.432146876673109e-194,1.81161456207853e-22
2,3,1.3322665956219901e-197,1.8116230697712202e-31,True,Gathering,0,linear,True,1.3322665956219902e-196,1.81162306977122e-30
3,4,1.3571440748611e-168,1.15224231994738e-24,True,Gathering,0,linear,True,1.3571440748611e-167,1.15224231994738e-23
4,5,7.57571565845745e-166,1.73897941350142e-26,True,Gathering,0,linear,True,7.57571565845745e-165,1.7389794135014198e-25
5,6,4.0838372278505e-177,1.32540848170818e-32,True,Gathering,0,linear,True,4.0838372278505e-176,1.32540848170818e-31
6,7,2.3630274305533203e-173,3.0469452220603403e-25,True,Gathering,0,linear,True,2.3630274305533204e-172,3.04694522206034e-24
7,8,9.67925663412695e-163,5.71846799679163e-26,True,Gathering,0,linear,True,9.67925663412695e-162,5.71846799679163e-25
8,9,3.99875986310893e-179,1.49962825163035e-29,True,Gathering,0,linear,True,3.9987598631089297e-178,1.49962825163035e-28
9,10,3.96644818922111e-184,5.1777487473316705e-25,True,Gathering,0,linear,True,3.96644818922111e-183,5.1777487473316705e-24
10,11,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
11,12,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
12,13,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
13,14,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
14,15,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
15,16,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
16,17,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
17,18,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
18,19,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
19,20,0.0,0.0,True,Gathering,0,nonlinear,True,0.0,0.0
20,21,5.12626217229593e-21,0.024545362971705,True,Gathering,1,linear,True,5.12626217229593e-20,0.24545362971704998
21,22,2.359167881559e-14,0.0071178481643225,True,Gathering,1,linear,True,2.359167881559e-13,0.07117848164322499
22,23,1.0999087063401e-16,0.0004471094103937,True,Gathering,1,linear,True,1.0999087063401e-15,0.004471094103937
23,24,5.0272491824724595e-18,0.0008974832468856,True,Gathering,1,linear,True,5.0272491824724597e-17,0.008974832468856
24,25,4.18852619345873e-17,0.17272850739831,True,Gathering,1,linear,True,4.18852619345873e-16,1.0
25,26,4.81777003925431e-21,0.0530353821321043,True,Gathering,1,linear,True,4.8177700392543103e-20,0.530353821321043
26,27,1.08274118358187e-17,0.0221300502221373,True,Gathering,1,linear,True,1.08274118358187e-16,0.22130050222137299
27,28,1.36168039933152e-17,0.0175463446310326,True,Gathering,1,linear,True,1.3616803993315199e-16,0.175463446310326
