,Unnamed: 0,surp_p_val,prev_surp_p_val,converged,has_preview_condition,reread_consecutive_condition,linear,additive_model,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,0.0003269317134315,0.0269246504456205,True,Gathering,11,linear,True,0.003269317134315,0.269246504456205
1,2,0.0008826434937125,0.144642762604392,True,Gathering,11,linear,True,0.008826434937125,1.0
2,3,0.0008227394250158,0.103258308167858,True,Gathering,11,linear,True,0.008227394250158,1.0
3,4,0.022409328850145,0.0024084065474476,True,Gathering,11,linear,True,0.22409328850145,0.024084065474476
4,5,0.0003682416491048,0.0724812096512479,True,Gathering,11,linear,True,0.003682416491048,0.7248120965124789
5,6,0.0021347700495183,0.159462384348282,True,Gathering,11,linear,True,0.021347700495183,1.0
6,7,0.0005915896455433,0.0032506083108056,True,Gathering,11,linear,True,0.005915896455433001,0.032506083108056
7,8,0.262734206978458,0.0914721586850184,True,Gathering,11,linear,True,1.0,0.914721586850184
8,9,0.0010677259346225,0.652579991271063,True,Gathering,11,linear,True,0.010677259346225002,1.0
9,10,0.0044359808051159,0.226469742593081,True,Gathering,11,linear,True,0.044359808051159,1.0
10,11,0.0080524835306084,0.0238422331035527,True,Gathering,11,nonlinear,True,0.08052483530608401,0.23842233103552699
11,12,0.0227244056346736,0.149536064618977,True,Gathering,11,nonlinear,True,0.227244056346736,1.0
12,13,1.80996274161127e-05,0.0482545099894293,True,Gathering,11,nonlinear,True,0.00018099627416112701,0.48254509989429306
13,14,0.0057624903613474,0.0158806101242168,True,Gathering,11,nonlinear,True,0.057624903613474,0.15880610124216799
14,15,0.0438163136431007,0.0619874932523217,True,Gathering,11,nonlinear,True,0.438163136431007,0.619874932523217
15,16,0.0660220457882147,0.038320527642214,True,Gathering,11,nonlinear,True,0.660220457882147,0.38320527642214
16,17,0.0004390598109811,0.244736748929362,True,Gathering,11,nonlinear,True,0.004390598109811,1.0
17,18,0.0576883254579927,0.0099721239364448,True,Gathering,11,nonlinear,True,0.576883254579927,0.09972123936444799
18,19,8.69905157874218e-06,0.0284741943119964,True,Gathering,11,nonlinear,True,8.69905157874218e-05,0.284741943119964
19,20,0.005754140807671,0.022563401081968,True,Gathering,11,nonlinear,True,0.05754140807671,0.22563401081968
20,21,2.50448869448209e-05,0.293476730816785,True,Gathering,12,linear,True,0.00025044886944820897,1.0
21,22,8.45766962004259e-05,0.0061839446966296,True,Gathering,12,linear,True,0.000845766962004259,0.061839446966295994
22,23,6.40110320074548e-08,0.223024549119041,True,Gathering,12,linear,True,6.40110320074548e-07,1.0
23,24,3.8968303580219105e-09,0.0135595746953159,True,Gathering,12,linear,True,3.8968303580219107e-08,0.135595746953159
24,25,3.54124676980123e-06,0.0434049501305386,True,Gathering,12,linear,True,3.5412467698012296e-05,0.434049501305386
25,26,4.94229596016675e-06,0.186928846658997,True,Gathering,12,linear,True,4.94229596016675e-05,1.0
26,27,2.22399560735469e-06,0.0081446953840957,True,Gathering,12,linear,True,2.22399560735469e-05,0.081446953840957
27,28,0.0007820958062879,0.200791624660727,True,Gathering,12,linear,True,0.007820958062879,1.0
28,29,0.0015850289832689,0.207580747710198,True,Gathering,12,linear,True,0.015850289832688998,1.0
29,30,0.0002988436637212,0.184563476474864,True,Gathering,12,linear,True,0.002988436637212,1.0
30,31,5.49093231250186e-06,0.0335387287791353,True,Gathering,12,nonlinear,True,5.49093231250186e-05,0.335387287791353
31,32,1.33622064757422e-06,0.0325864951165262,True,Gathering,12,nonlinear,True,1.33622064757422e-05,0.325864951165262
32,33,1.89563507402291e-05,0.0147519272308603,True,Gathering,12,nonlinear,True,0.000189563507402291,0.14751927230860298
33,34,2.93142025820092e-06,0.0773787532714581,True,Gathering,12,nonlinear,True,2.93142025820092e-05,0.773787532714581
34,35,0.03007847387206,0.0493448585248821,True,Gathering,12,nonlinear,True,0.30078473872059996,0.493448585248821
35,36,0.0,0.0695355176519031,True,Gathering,12,nonlinear,True,0.0,0.6953551765190311
36,37,2.93351268710329e-05,0.0770258679022053,True,Gathering,12,nonlinear,True,0.000293351268710329,0.7702586790220529
37,38,0.005935394925276,0.278748958886556,True,Gathering,12,nonlinear,True,0.05935394925276,1.0
38,39,0.0004643044063045,0.0510913032772917,True,Gathering,12,nonlinear,True,0.004643044063045,0.510913032772917
39,40,1.4578649285224e-05,0.0569715015148321,True,Gathering,12,nonlinear,True,0.00014578649285224,0.569715015148321
40,41,0.0016324705626106,0.073862773027732,True,Hunting,11,linear,True,0.016324705626106002,0.7386277302773201
41,42,0.0026925101140143,0.0603359128684098,True,Hunting,11,linear,True,0.026925101140143,0.603359128684098
42,43,0.002302272695332,0.0764705803861256,True,Hunting,11,linear,True,0.02302272695332,0.764705803861256
43,44,0.0213922087568042,0.0410520720465669,True,Hunting,11,linear,True,0.21392208756804199,0.410520720465669
44,45,0.451249618941096,0.31167302810945,True,Hunting,11,linear,True,1.0,1.0
45,46,0.0040230607873025,0.510316314750844,True,Hunting,11,linear,True,0.040230607873025,1.0
46,47,0.0697123964494939,0.101537554119457,True,Hunting,11,linear,True,0.697123964494939,1.0
47,48,0.049382142073861,0.104241622318973,True,Hunting,11,linear,True,0.49382142073860996,1.0
48,49,0.189772783414027,0.0150414876366737,True,Hunting,11,linear,True,1.0,0.150414876366737
49,50,0.0375753748216657,0.14492395545752,True,Hunting,11,linear,True,0.375753748216657,1.0
50,51,0.0019383246860103,0.0025509428684849,True,Hunting,11,nonlinear,True,0.019383246860103,0.025509428684848998
51,52,0.0400456666251334,0.174615746795714,True,Hunting,11,nonlinear,True,0.40045666625133397,1.0
52,53,0.0110201141251374,0.0896458527210336,True,Hunting,11,nonlinear,True,0.110201141251374,0.896458527210336
53,54,0.0199443145365715,0.0177342197042945,True,Hunting,11,nonlinear,True,0.199443145365715,0.17734219704294502
54,55,0.0073260353601905,0.283317758751222,True,Hunting,11,nonlinear,True,0.073260353601905,1.0
55,56,0.0816194260918169,0.0497312641333978,True,Hunting,11,nonlinear,True,0.8161942609181689,0.49731264133397796
56,57,0.0003665877184569,0.0120586778859511,True,Hunting,11,nonlinear,True,0.0036658771845690004,0.120586778859511
57,58,0.0027991628875338,0.0780976490005503,True,Hunting,11,nonlinear,True,0.027991628875338,0.780976490005503
58,59,0.0653581710856498,0.0787857157050276,True,Hunting,11,nonlinear,True,0.653581710856498,0.7878571570502759
59,60,0.0029724268144019,0.0588354580265841,True,Hunting,11,nonlinear,True,0.029724268144019,0.588354580265841
60,61,0.0008728321337721,0.124140893818572,True,Hunting,12,linear,True,0.008728321337721,1.0
61,62,0.0014413305755048,0.619463568553837,True,Hunting,12,linear,True,0.014413305755048001,1.0
62,63,1.95608899895596e-06,0.75618488369847,True,Hunting,12,linear,True,1.95608899895596e-05,1.0
63,64,0.0031437446614039,0.378612503599888,True,Hunting,12,linear,True,0.031437446614039,1.0
64,65,0.005623563871943,0.688992058468298,True,Hunting,12,linear,True,0.056235638719430006,1.0
65,66,0.103369787253508,0.993376959236072,True,Hunting,12,linear,True,1.0,1.0
66,67,0.0008158158235825,0.816929861323956,True,Hunting,12,linear,True,0.008158158235824999,1.0
67,68,0.0354585470916222,0.735061954776971,True,Hunting,12,linear,True,0.35458547091622206,1.0
68,69,0.0075833347872139,0.376698075114228,True,Hunting,12,linear,True,0.075833347872139,1.0
69,70,0.0081489979516151,0.597491975049975,True,Hunting,12,linear,True,0.081489979516151,1.0
70,71,3.79163288416473e-06,0.15084181577394,True,Hunting,12,nonlinear,True,3.79163288416473e-05,1.0
71,72,7.63240584789049e-07,0.391846613350309,True,Hunting,12,nonlinear,True,7.63240584789049e-06,1.0
72,73,0.0001235938785011,0.070318737837968,True,Hunting,12,nonlinear,True,0.001235938785011,0.70318737837968
73,74,0.0019205975295366,0.116193235567421,True,Hunting,12,nonlinear,True,0.019205975295366,1.0
74,75,0.0112374227639672,0.907667929413088,True,Hunting,12,nonlinear,True,0.112374227639672,1.0
75,76,0.0006872870480796,0.028740854709604,True,Hunting,12,nonlinear,True,0.006872870480796,0.28740854709604
76,77,7.03711973718546e-05,0.0491410898566009,True,Hunting,12,nonlinear,True,0.000703711973718546,0.491410898566009
77,78,0.000224095540852,0.0651901554711943,True,Hunting,12,nonlinear,True,0.0022409554085199997,0.6519015547119431
78,79,0.0011832934857273,0.279266593859705,True,Hunting,12,nonlinear,True,0.011832934857272999,1.0
79,80,0.0110643490444006,0.163378349020639,True,Hunting,12,nonlinear,True,0.11064349044400601,1.0
