"","surp_p_val","prev_surp_p_val","converged","has_preview_condition","reread_consecutive_condition","linear","additive_model"
"1",3.17578935864718e-13,0.000695935987823858,TRUE,"Gathering",11,"linear",TRUE
"2",3.68065591849092e-24,0.000299925528063838,TRUE,"Gathering",11,"linear",TRUE
"3",1.25526039937498e-16,9.55708996187067e-05,TRUE,"Gathering",11,"linear",TRUE
"4",2.97162326656922e-16,0.00202246344482824,TRUE,"Gathering",11,"linear",TRUE
"5",1.8524301489155e-18,0.000630797672054654,TRUE,"Gathering",11,"linear",TRUE
"6",1.3385512649836e-19,0.000402803880843525,TRUE,"Gathering",11,"linear",TRUE
"7",3.03088857545024e-14,0.000607355967135718,TRUE,"Gathering",11,"linear",TRUE
"8",2.55248290969038e-15,0.00115044122937751,TRUE,"Gathering",11,"linear",TRUE
"9",7.06548715441788e-19,1.08056385929229e-06,TRUE,"Gathering",11,"linear",TRUE
"10",4.69123246060582e-13,0.00176360085887638,TRUE,"Gathering",11,"linear",TRUE
"11",0,0.00183785034275818,TRUE,"Gathering",11,"nonlinear",TRUE
"12",0,7.84780119574835e-05,TRUE,"Gathering",11,"nonlinear",TRUE
"13",0,0.00271672580399668,TRUE,"Gathering",11,"nonlinear",TRUE
"14",0,8.19315841244506e-05,TRUE,"Gathering",11,"nonlinear",TRUE
"15",3.98311630200876e-06,0.004883148752375,TRUE,"Gathering",11,"nonlinear",TRUE
"16",0,6.12781898940984e-05,TRUE,"Gathering",11,"nonlinear",TRUE
"17",0,5.86140702399374e-05,TRUE,"Gathering",11,"nonlinear",TRUE
"18",0,0.000860479033270301,TRUE,"Gathering",11,"nonlinear",TRUE
"19",0,0.000649741073226906,TRUE,"Gathering",11,"nonlinear",TRUE
"20",0,5.61826436101809e-06,TRUE,"Gathering",11,"nonlinear",TRUE
"21",3.45033514538962e-25,9.16616085373606e-08,TRUE,"Gathering",12,"linear",TRUE
"22",5.99937898247007e-33,2.17870467580291e-07,TRUE,"Gathering",12,"linear",TRUE
"23",2.47461744408879e-27,3.14691271291193e-08,TRUE,"Gathering",12,"linear",TRUE
"24",9.26981014125726e-24,1.05874241981712e-05,TRUE,"Gathering",12,"linear",TRUE
"25",1.9246732183421e-29,4.24617813832695e-05,TRUE,"Gathering",12,"linear",TRUE
